Grain,Ecological axis,Variable,Loading on PC1,Variance explained by PC1 (%)
50km,Thermal energy,bio1_mean,0.522,58.7
50km,Thermal energy,bio6_mean,0.625,58.7
50km,Thermal energy,bio4_mean,-0.537,58.7
50km,Thermal energy,bio3_mean,0.22,58.7
50km,Water availability,bio12_mean,0.589,77.5
50km,Water availability,bio15_mean,-0.509,77.5
50km,Water availability,bio17_mean,0.627,77.5
50km,Productivity,npp,0.707,84
50km,Productivity,lc_trees,0.707,84
50km,Habitat structure,elev_range,0.687,66.9
50km,Habitat structure,het_shannon,0.254,66.9
50km,Habitat structure,bio1_sd,0.68,66.9
50km,Human pressure,hfp2020,0.615,79.4
50km,Human pressure,lc_cropland,0.545,79.4
50km,Human pressure,lc_built,0.571,79.4
100km,Thermal energy,bio1_mean,0.523,59.3
100km,Thermal energy,bio6_mean,0.623,59.3
100km,Thermal energy,bio4_mean,-0.539,59.3
100km,Thermal energy,bio3_mean,0.219,59.3
100km,Water availability,bio12_mean,0.589,78
100km,Water availability,bio15_mean,-0.512,78
100km,Water availability,bio17_mean,0.626,78
100km,Productivity,npp,0.707,84.8
100km,Productivity,lc_trees,0.707,84.8
100km,Habitat structure,elev_range,0.699,65.1
100km,Habitat structure,het_shannon,0.174,65.1
100km,Habitat structure,bio1_sd,0.693,65.1
100km,Human pressure,hfp2020,0.607,81.2
100km,Human pressure,lc_cropland,0.546,81.2
100km,Human pressure,lc_built,0.577,81.2
