Class,Thermoregulatory mode,Adjacent cell pairs (n),Taxonomic beta,Functional beta,Functional / taxonomic,95% CI,"Turnover share, species (%)","Turnover share, functional (%)"
Birds,Endotherm,7282,0.046,0.009,0.19,0.182-0.199,46.6,8.1
Mammals,Endotherm,7302,0.058,0.02,0.341,0.331-0.351,49.4,16.3
Reptiles,Ectotherm,7031,0.071,0.047,0.662,0.643-0.679,28.2,14
