Class,Trait,Species (n),With data (n),Coverage before imputation (%),Imputed upstream by TetrapodTraits (%),Trait set
Amphibians,Body length,438,438,100,0.7,core (all 4 classes)
Amphibians,Body mass,438,438,100,74.7,core (all 4 classes)
Amphibians,Diet breadth,438,141,32.2,,extended (birds/mammals/reptiles)
Amphibians,Habitat breadth,438,438,100,3,core (all 4 classes)
Amphibians,Litter/clutch size,438,167,38.1,,extended (birds/mammals/reptiles)
Amphibians,Maximum longevity,438,81,18.5,,excluded (data-deficient)
Amphibians,Nocturnality,438,438,100,70.8,core (all 4 classes)
Amphibians,Plant diet,438,142,32.4,,extended (birds/mammals/reptiles)
Amphibians,Range size,438,438,100,,core (all 4 classes)
Amphibians,Vertebrate diet,438,142,32.4,,extended (birds/mammals/reptiles)
Amphibians,Verticality,438,438,100,11.4,core (all 4 classes)
Birds,Body length,1086,1086,100,12.5,core (all 4 classes)
Birds,Body mass,1086,1086,100,2.9,core (all 4 classes)
Birds,Diet breadth,1086,1054,97.1,,extended (birds/mammals/reptiles)
Birds,Habitat breadth,1086,1086,100,0.2,core (all 4 classes)
Birds,Litter/clutch size,1086,914,84.2,,extended (birds/mammals/reptiles)
Birds,Maximum longevity,1086,362,33.3,,excluded (data-deficient)
Birds,Nocturnality,1086,1086,100,0,core (all 4 classes)
Birds,Plant diet,1086,1054,97.1,,extended (birds/mammals/reptiles)
Birds,Range size,1086,1086,100,,core (all 4 classes)
Birds,Vertebrate diet,1086,1054,97.1,,extended (birds/mammals/reptiles)
Birds,Verticality,1086,1086,100,0.7,core (all 4 classes)
Mammals,Body length,599,599,100,8.5,core (all 4 classes)
Mammals,Body mass,599,599,100,5.8,core (all 4 classes)
Mammals,Diet breadth,599,500,83.5,,extended (birds/mammals/reptiles)
Mammals,Habitat breadth,599,599,100,1.5,core (all 4 classes)
Mammals,Litter/clutch size,599,393,65.6,,extended (birds/mammals/reptiles)
Mammals,Maximum longevity,599,327,54.6,,excluded (data-deficient)
Mammals,Nocturnality,599,599,100,7.3,core (all 4 classes)
Mammals,Plant diet,599,500,83.5,,extended (birds/mammals/reptiles)
Mammals,Range size,599,599,100,,core (all 4 classes)
Mammals,Vertebrate diet,599,500,83.5,,extended (birds/mammals/reptiles)
Mammals,Verticality,599,599,100,3.8,core (all 4 classes)
Reptiles,Body length,472,472,100,0.2,core (all 4 classes)
Reptiles,Body mass,472,472,100,0.2,core (all 4 classes)
Reptiles,Diet breadth,472,401,85,,extended (birds/mammals/reptiles)
Reptiles,Habitat breadth,472,472,100,1.9,core (all 4 classes)
Reptiles,Litter/clutch size,472,347,73.5,,extended (birds/mammals/reptiles)
Reptiles,Maximum longevity,472,135,28.6,,excluded (data-deficient)
Reptiles,Nocturnality,472,472,100,16.7,core (all 4 classes)
Reptiles,Plant diet,472,401,85,,extended (birds/mammals/reptiles)
Reptiles,Range size,472,472,100,,core (all 4 classes)
Reptiles,Vertebrate diet,472,401,85,,extended (birds/mammals/reptiles)
Reptiles,Verticality,472,472,100,2.5,core (all 4 classes)
