Class,Grain,Tests (n),"Significant, naive CWM regression","Significant, fourth-corner max test",Naive (%),Max test (%),Inflation ratio,Conclusions reversed (%)
Amphibians,50km,60,49,19,81.7,31.7,2.58,50
Amphibians,100km,60,49,18,81.7,30,2.72,51.7
Birds,50km,100,94,74,94,74,1.27,21
Birds,100km,100,92,72,92,72,1.28,20
Mammals,50km,100,94,60,94,60,1.57,34
Mammals,100km,100,95,69,95,69,1.38,26
Reptiles,50km,100,92,38,92,38,2.42,54
Reptiles,100km,100,92,36,92,36,2.56,57
