Grain,Variable,Cells with data (n),Mean,SD,Minimum,Maximum
50km,bio1_mean,3784,6.822,7.915,-12.08,24.731
50km,bio2_mean,3784,11.969,2.731,4.643,18.162
50km,bio3_mean,3784,31.721,6.431,19.569,52.961
50km,bio4_mean,3784,992.689,308.827,307.882,1720.672
50km,bio5_mean,3784,24.975,7.214,6.768,40.335
50km,bio6_mean,3784,-13.682,11.232,-36.451,16.029
50km,bio7_mean,3784,38.657,9.722,13.751,60.969
50km,bio8_mean,3784,17.587,7.263,-12.375,30.977
50km,bio9_mean,3784,-4.485,10.003,-26.38,21.097
50km,bio10_mean,3784,18.439,7.441,-0.612,31.157
50km,bio11_mean,3784,-5.953,9.863,-26.505,20.062
50km,bio12_mean,3784,602.922,514.818,14.252,3086.981
50km,bio13_mean,3784,125.728,90.171,4.452,714.796
50km,bio14_mean,3784,8.954,12.974,0,160.385
50km,bio15_mean,3784,89.037,22.508,26.525,146.828
50km,bio16_mean,3784,321.785,240.146,10.773,1825.444
50km,bio17_mean,3784,33.75,47.964,0,531.271
50km,bio18_mean,3784,304.094,220.479,10.773,1818.238
50km,bio19_mean,3784,38.49,56.389,0,546.689
50km,bio1_sd,3784,1.081,1.005,0.032,7.127
50km,bio12_sd,3784,28.142,45.151,0.42,719.253
50km,elev_mean,3784,1828.82,1715.211,0.024,5738.812
50km,elev_sd,3784,216.698,189.927,0.672,1351.136
50km,elev_range,3784,1157.784,921.009,6,6348
50km,npp,3814,337.278,296.285,0,1160.755
50km,lc_built,3787,0.02,0.042,0,0.459
50km,lc_cropland,3787,0.151,0.227,0,0.92
50km,lc_grassland,3787,0.224,0.279,0,0.998
50km,lc_shrubs,3787,0.002,0.01,0,0.2
50km,lc_trees,3787,0.256,0.334,0,0.994
50km,lc_water,3787,0.021,0.065,0,1
50km,het_contrast,3784,142674.601,128581.749,130.713,1100242.5
50km,het_entropy,3784,41675.33,13494.022,831.133,60061.48
50km,het_evenness,3784,8200.242,1103.516,439.05,9405.285
50km,het_homogeneity,3784,4689.64,2060.467,1931.426,9934.631
50km,het_shannon,3784,24142.474,7692.651,318.011,37431.977
50km,het_std,3784,433.942,246.327,9.296,1608.313
50km,hfp2000,3783,9.263,7.208,0,38.765
50km,hfp2020,3783,10.378,8.573,0,41.08
50km,hfp_change,3783,1.115,1.699,-6.442,10.441
50km,lon,3814,103.845,14.199,74.083,136.118
50km,lat,3814,35.74,7.128,18.705,53.301
50km,x_albers,3814,-550917.672,1211014.723,-2975000,2575000
50km,y_albers,3814,3923164.657,831961.707,1925000,5825000
50km,land_area_km2,3814,2459.104,175.452,1253.035,2500
100km,bio1_mean,951,6.866,7.85,-10.027,24.424
100km,bio2_mean,951,11.946,2.725,4.862,17.914
100km,bio3_mean,951,31.722,6.381,20.552,51.623
100km,bio4_mean,951,990.49,308.362,330.308,1692.413
100km,bio5_mean,951,24.982,7.038,9.298,37.801
100km,bio6_mean,951,-13.593,11.257,-36.133,15.605
100km,bio7_mean,951,38.575,9.727,14.794,60.252
100km,bio8_mean,951,17.61,7.112,-10.421,28.615
100km,bio9_mean,951,-4.423,9.967,-26.293,20.615
100km,bio10_mean,951,18.455,7.308,1.473,28.677
100km,bio11_mean,951,-5.881,9.871,-26.416,19.67
100km,bio12_mean,951,607.721,517.696,14.978,2728.032
100km,bio13_mean,951,126.586,90.283,4.809,557.352
100km,bio14_mean,951,9.076,13.106,0,113.151
100km,bio15_mean,951,88.979,22.226,28.322,145.076
100km,bio16_mean,951,324.036,240.647,11.788,1437.929
100km,bio17_mean,951,34.138,48.297,0,371.13
100km,bio18_mean,951,306.244,220.841,11.788,1437.929
100km,bio19_mean,951,38.908,56.804,0,390.421
100km,bio1_sd,951,1.489,1.317,0.071,7.826
100km,bio12_sd,951,44.291,60.52,0.512,615.264
100km,elev_mean,951,1824.44,1697.732,0.228,5515.256
100km,elev_sd,951,286.445,243.922,1.181,1302.909
100km,elev_range,951,1636.08,1201.667,9,6744
100km,npp,957,338.614,291.314,0,1028.897
100km,lc_built,953,0.02,0.037,0,0.29
100km,lc_cropland,953,0.149,0.211,0,0.893
100km,lc_grassland,953,0.222,0.266,0,0.995
100km,lc_shrubs,953,0.002,0.008,0,0.129
100km,lc_trees,953,0.253,0.32,0,0.972
100km,lc_water,953,0.029,0.084,0,1
100km,het_contrast,951,143356.269,117098.639,433.728,865942.375
100km,het_entropy,951,41747.263,13046.664,2762.122,58493.742
100km,het_evenness,951,8205.63,1035.04,2660.011,9337.491
100km,het_homogeneity,951,4678.995,2000.533,2190.094,9783.552
100km,het_shannon,951,24187.558,7399.565,1959.427,36007.914
100km,het_std,951,435.666,229.682,14.173,1328.786
100km,hfp2000,951,9.303,6.93,0,32.163
100km,hfp2020,951,10.425,8.209,0,38.456
100km,hfp_change,951,1.121,1.555,-4.606,8.445
100km,lon,957,103.841,14.202,74.463,133.401
100km,lat,957,35.709,7.142,18.941,53.381
100km,x_albers,957,-551358.412,1210427.254,-2950000,2250000
100km,y_albers,957,3919592.476,834572.737,1950000,5850000
100km,land_area_km2,957,9681.231,995.906,5046.114,10000
