Class,Functional groups (K),Functional / taxonomic beta
Birds,10,0.071
Birds,20,0.19
Birds,30,0.241
Mammals,10,0.161
Mammals,20,0.341
Mammals,30,0.408
Reptiles,10,0.499
Reptiles,20,0.662
Reptiles,30,0.734
