n_bins,n_functional_bins,bins_met_by_speciesplan,bins_met_by_traitplan,bins_met_by_richness
4,252,96.4,98.8,91.3
5,469,93.6,95.7,88.7
6,717,92.3,92.2,85.8
8,1219,90.2,92,82
