variable,thermal_content,ratio,n_fits,overall_rho,overall_p
bio1_mean,1,2.29,96,0.738,0.0366
bio12_mean,0.574,1.23,96,0.738,0.0366
npp,0.534,1.84,96,0.738,0.0366
bio4_mean,0.303,1.45,96,0.738,0.0366
hfp2020,0.609,1.8,96,0.738,0.0366
elev_range,0.198,1.12,32,0.738,0.0366
lc_shannon,0.519,1.81,32,0.738,0.0366
het_shannon,0.054,0.67,32,0.738,0.0366
