class,response,n_pairs,mean_protected,mean_unprotected,diff,mean_match_dist,p_wilcoxon,p_adj
Aves,richness,708,120.898305084746,127.415254237288,-6.51694915254239,0.295480630764364,6.8524007365349e-11,8.22288088384188e-10
Aves,SES.FDis,708,-1.24497848630114,-1.42247786437198,0.177499378070842,0.295480630764364,4.98289157904584e-08,2.9897349474275e-07
Aves,trait_vol,708,0.0243475834590009,0.024418148032457,-7.05645734560677e-05,0.295480630764364,0.631763514976545,0.631763514976545
Mammalia,richness,711,46.9001406469761,47.4106891701829,-0.510548523206734,0.297459656938577,0.16370941129938,0.24556411694907
Mammalia,SES.FDis,711,-1.14871237588462,-1.28628377637343,0.137571400488812,0.297459656938577,0.00015972586811738,0.000638903472469518
Mammalia,trait_vol,711,0.0364902958807116,0.0360233127972673,0.000466983083444286,0.297459656938577,0.00357204424137638,0.00857290617930331
Reptilia,richness,587,18.1158432708687,17.984667802385,0.131175468483816,0.280774408363968,0.103451104619304,0.206902209238608
Reptilia,SES.FDis,587,-1.257549578082,-1.06366241066665,-0.193887167415345,0.280774408363968,0.000642543085690439,0.00192762925707132
Reptilia,trait_vol,587,0.0317863575556221,0.0322029365027181,-0.000416578947096054,0.280774408363968,0.129799736578985,0.222513834135403
Amphibia,richness,404,11.1039603960396,11.0891089108911,0.0148514851485153,0.300228579775588,0.219042648524224,0.292056864698966
Amphibia,SES.FDis,404,0.157351170132086,0.125387886438876,0.0319632836932106,0.300228579775588,0.503853445959051,0.549658304682601
Amphibia,trait_vol,404,0.0492028787854103,0.0486750544094131,0.000527824375997223,0.300228579775588,0.454579229901336,0.545495075881603
