class,trait,n,n_observed,pct_observed,usable
Reptilia,fecundity,472,316,66.9,TRUE
Reptilia,longevity,472,111,23.5,FALSE
Reptilia,maturity,472,0,0,FALSE
Reptilia,litters_per_year,472,41,8.7,FALSE
Reptilia,body_temp,472,45,9.5,FALSE
Reptilia,generation_length,472,0,0,FALSE
Amphibia,fecundity,438,263,60,TRUE
Amphibia,longevity,438,37,8.4,FALSE
Amphibia,maturity,438,31,7.1,FALSE
Amphibia,litters_per_year,438,0,0,FALSE
Amphibia,body_temp,438,0,0,FALSE
Amphibia,generation_length,438,0,0,FALSE
Aves,fecundity,1086,1086,100,TRUE
Aves,longevity,1086,362,33.3,FALSE
Aves,maturity,1086,0,0,FALSE
Aves,litters_per_year,1086,0,0,FALSE
Aves,body_temp,1086,0,0,FALSE
Aves,generation_length,1086,877,80.8,TRUE
Mammalia,fecundity,599,599,100,TRUE
Mammalia,longevity,599,327,54.6,TRUE
Mammalia,maturity,599,0,0,FALSE
Mammalia,litters_per_year,599,0,0,FALSE
Mammalia,body_temp,599,0,0,FALSE
Mammalia,generation_length,599,552,92.2,TRUE
