term,estimate,se,p,n,lambda,resid_moran,class,response,response_type,hypothesis,thermal,p_adj
hfp2020,0.0985570625142622,0.0152563351843043,1.04651398658007e-10,3196,0.938022996029667,-0.037087218607032,Reptilia,SIZE,functional axis,Human pressure,Ectotherm,7.92263358366184e-10
bio1_mean,-0.21098737211839,0.0295223504134014,8.888445535149e-13,3196,0.970758261511996,-0.0394705315681187,Reptilia,PACE,functional axis,Ambient energy,Ectotherm,9.14240112186755e-12
bio12_mean,-0.046153176868784,0.0413225341137139,0.264036686048923,3196,0.970758261511996,-0.0394705315681187,Reptilia,PACE,functional axis,Water availability,Ectotherm,0.380212827910449
npp,0.102493690662334,0.01990393007906,2.61293538361684e-07,3196,0.970758261511996,-0.0394705315681187,Reptilia,PACE,functional axis,Productivity,Ectotherm,1.48524748121378e-06
elev_range,-0.0348376147182209,0.0112625578157789,0.00197994592202333,3196,0.970758261511996,-0.0394705315681187,Reptilia,PACE,functional axis,Habitat heterogeneity,Ectotherm,0.00548292716867999
bio4_mean,0.182599208490344,0.0588241393835969,0.0019082374798276,3196,0.970758261511996,-0.0394705315681187,Reptilia,PACE,functional axis,Climatic seasonality,Ectotherm,0.00535297786549042
hfp2020,-0.0188459319413266,0.0130934829505062,0.150055119219404,3196,0.970758261511996,-0.0394705315681187,Reptilia,PACE,functional axis,Human pressure,Ectotherm,0.251255083344119
bio1_mean,-0.185115175977797,0.0214687924255379,0,3196,0.981585487122714,-0.0209525465533157,Reptilia,NICHE,functional axis,Ambient energy,Ectotherm,0
bio12_mean,0.00321890005150254,0.0296563715684743,0.913567419869596,3196,0.981585487122714,-0.0209525465533157,Reptilia,NICHE,functional axis,Water availability,Ectotherm,0.94870462832612
npp,0.0209974107919199,0.0141277914485293,0.137213366893325,3196,0.981585487122714,-0.0209525465533157,Reptilia,NICHE,functional axis,Productivity,Ectotherm,0.231547556632485
elev_range,-0.0283628812892602,0.00798523568153079,0.000382437855165119,3196,0.981585487122714,-0.0209525465533157,Reptilia,NICHE,functional axis,Habitat heterogeneity,Ectotherm,0.00118009395308094
bio4_mean,-0.0216941968443914,0.0436113430967944,0.618876050436226,3196,0.981585487122714,-0.0209525465533157,Reptilia,NICHE,functional axis,Climatic seasonality,Ectotherm,0.70513225241724
hfp2020,0.0251949338076694,0.00928570883434833,0.00666163335805337,3196,0.981585487122714,-0.0209525465533157,Reptilia,NICHE,functional axis,Human pressure,Ectotherm,0.0153075830355269
bio1_mean,-0.297289140952393,0.0614477315213,1.31098303235433e-06,1994,0.934735087833221,-0.0010880684474058,Amphibia,size,single trait,Ambient energy,Ectotherm,6.29271855530078e-06
bio12_mean,0.00308589103833196,0.0451146474164385,0.945466354521243,1994,0.934735087833221,-0.0010880684474058,Amphibia,size,single trait,Water availability,Ectotherm,0.958782782411298
npp,-0.0184060820192454,0.0222313672949438,0.407708460135827,1994,0.934735087833221,-0.0010880684474058,Amphibia,size,single trait,Productivity,Ectotherm,0.506120847142629
elev_range,0.0259529638307902,0.02038640926312,0.202999507592625,1994,0.934735087833221,-0.0010880684474058,Amphibia,size,single trait,Habitat heterogeneity,Ectotherm,0.310977969078065
bio4_mean,0.21218772906029,0.0975039634608559,0.0295406126540332,1994,0.934735087833221,-0.0010880684474058,Amphibia,size,single trait,Climatic seasonality,Ectotherm,0.0585391957180841
hfp2020,-0.00857628020105174,0.0198237872699504,0.665286702548351,1994,0.934735087833221,-0.0010880684474058,Amphibia,size,single trait,Human pressure,Ectotherm,0.722873973796893
bio1_mean,-0.449197410622682,0.0399241630633518,0,1994,0.966121808658552,-0.0303084657020206,Amphibia,fecundity,single trait,Ambient energy,Ectotherm,0
bio12_mean,-0.197807814978911,0.0292805377297741,1.42237333022877e-11,1994,0.966121808658552,-0.0303084657020206,Amphibia,fecundity,single trait,Water availability,Ectotherm,1.27213439782281e-10
npp,0.0109036798816637,0.0140984701138457,0.439288917236678,1994,0.966121808658552,-0.0303084657020206,Amphibia,fecundity,single trait,Productivity,Ectotherm,0.533069697320913
elev_range,-0.12829601237527,0.0128822747876735,0,1994,0.966121808658552,-0.0303084657020206,Amphibia,fecundity,single trait,Habitat heterogeneity,Ectotherm,0
bio4_mean,0.115629837329413,0.0815244555885871,0.156089945268589,1994,0.966121808658552,-0.0303084657020206,Amphibia,fecundity,single trait,Climatic seasonality,Ectotherm,0.253499459985077
hfp2020,0.0387162145258784,0.0125829869577832,0.00209186540401451,1994,0.966121808658552,-0.0303084657020206,Amphibia,fecundity,single trait,Human pressure,Ectotherm,0.00567438371999758
bio1_mean,0.14754725873647,0.0356884449327011,3.56015526683517e-05,1994,0.976296062342842,-0.0439858123619905,Amphibia,nocturnality,single trait,Ambient energy,Ectotherm,0.000150783046595372
bio12_mean,0.0970060389864899,0.0261787909892751,0.000210957310082582,1994,0.976296062342842,-0.0439858123619905,Amphibia,nocturnality,single trait,Water availability,Ectotherm,0.000701027368889812
npp,0.0137365951671196,0.0125295765480103,0.272932831221867,1994,0.976296062342842,-0.0439858123619905,Amphibia,nocturnality,single trait,Productivity,Ectotherm,0.390420473800817
elev_range,0.0503797406321859,0.0114417535350396,1.066910516756e-05,1994,0.976296062342842,-0.0439858123619905,Amphibia,nocturnality,single trait,Habitat heterogeneity,Ectotherm,4.70311574733259e-05
bio4_mean,-0.0494875546171968,0.0791524038596764,0.531827600156703,1994,0.976296062342842,-0.0439858123619905,Amphibia,nocturnality,single trait,Climatic seasonality,Ectotherm,0.624319356705695
hfp2020,-0.00934879228247838,0.011189994944229,0.40345880447761,1994,0.976296062342842,-0.0439858123619905,Amphibia,nocturnality,single trait,Human pressure,Ectotherm,0.506120847142629
bio1_mean,0.0650952830326349,0.0634929871845457,0.305251943513042,1994,0.956760562261379,-0.0340955644347192,Amphibia,verticality,single trait,Ambient energy,Ectotherm,0.417566021854727
bio12_mean,-0.0797788572159981,0.0465696795012993,0.0866928040432371,1994,0.956760562261379,-0.0340955644347192,Amphibia,verticality,single trait,Water availability,Ectotherm,0.157358367002851
npp,-0.0271891541544397,0.0225632393037698,0.228195589173725,1994,0.956760562261379,-0.0340955644347192,Amphibia,verticality,single trait,Productivity,Ectotherm,0.33836059936245
elev_range,0.0150823626702163,0.020633701049049,0.464804990270721,1994,0.956760562261379,-0.0340955644347192,Amphibia,verticality,single trait,Habitat heterogeneity,Ectotherm,0.551636691749866
bio4_mean,0.0134449041537887,0.119762542915596,0.910614866119673,1994,0.956760562261379,-0.0340955644347192,Amphibia,verticality,single trait,Climatic seasonality,Ectotherm,0.94870462832612
hfp2020,-0.0392151793137152,0.02012907407604,0.0513927172760853,1994,0.956760562261379,-0.0340955644347192,Amphibia,verticality,single trait,Human pressure,Ectotherm,0.0973756748388985
bio1_mean,0.0107182829317794,0.0252555619862261,0.671279247624073,1994,0.986910610754086,-0.0250447294956169,Amphibia,habitat_breadth,single trait,Ambient energy,Ectotherm,0.722873973796893
bio12_mean,-0.034375279200729,0.0185339838916935,0.0636367716510176,1994,0.986910610754086,-0.0250447294956169,Amphibia,habitat_breadth,single trait,Water availability,Ectotherm,0.11748327074034
npp,-0.000672290753911635,0.00882382367040548,0.939267611259939,1994,0.986910610754086,-0.0250447294956169,Amphibia,habitat_breadth,single trait,Productivity,Ectotherm,0.958782782411298
elev_range,-0.057232052197272,0.00805480913029616,1.20037313422472e-12,1994,0.986910610754086,-0.0250447294956169,Amphibia,habitat_breadth,single trait,Habitat heterogeneity,Ectotherm,1.17854816814791e-11
bio4_mean,0.142593928903969,0.0601025871206222,0.017667732668927,1994,0.986910610754086,-0.0250447294956169,Amphibia,habitat_breadth,single trait,Climatic seasonality,Ectotherm,0.0370507791892061
hfp2020,0.00313181821995742,0.00788670369959101,0.691292955042494,1994,0.986910610754086,-0.0250447294956169,Amphibia,habitat_breadth,single trait,Human pressure,Ectotherm,0.739204347966231
bio1_mean,-0.0195756435669657,0.0413051622635695,0.63555175866278,1994,0.966009093638955,-0.0331706005483616,Amphibia,range_size,single trait,Ambient energy,Ectotherm,0.712564605160937
bio12_mean,-0.0548315226507102,0.0302933538269852,0.0702929603058944,1994,0.966009093638955,-0.0331706005483616,Amphibia,range_size,single trait,Water availability,Ectotherm,0.128671859542993
npp,0.00722777979125387,0.0145871748797514,0.620255222033684,1994,0.966009093638955,-0.0331706005483616,Amphibia,range_size,single trait,Productivity,Ectotherm,0.70513225241724
elev_range,-0.0814450988347937,0.0133289335668845,9.93825244322011e-10,1994,0.966009093638955,-0.0331706005483616,Amphibia,range_size,single trait,Habitat heterogeneity,Ectotherm,6.70832039917357e-09
bio4_mean,0.226387025074771,0.0842642250778651,0.00721762655485891,1994,0.966009093638955,-0.0331706005483616,Amphibia,range_size,single trait,Climatic seasonality,Ectotherm,0.0164106035352582
hfp2020,0.0171209044046552,0.0130190787590834,0.188488842950478,1994,0.966009093638955,-0.0331706005483616,Amphibia,range_size,single trait,Human pressure,Ectotherm,0.295026015052922
bio1_mean,-0.297289141031837,0.0614477315157225,1.31098302103005e-06,1994,0.934735087727142,-0.00108806836261661,Amphibia,SIZE,functional axis,Ambient energy,Ectotherm,6.29271855530078e-06
bio12_mean,0.00308589101786491,0.0451146474126568,0.945466354877808,1994,0.934735087727142,-0.00108806836261661,Amphibia,SIZE,functional axis,Water availability,Ectotherm,0.958782782411298
npp,-0.0184060820168767,0.0222313672950413,0.407708460198229,1994,0.934735087727142,-0.00108806836261661,Amphibia,SIZE,functional axis,Productivity,Ectotherm,0.506120847142629
elev_range,0.0259529638474439,0.0203864092635284,0.202999507311813,1994,0.934735087727142,-0.00108806836261661,Amphibia,SIZE,functional axis,Habitat heterogeneity,Ectotherm,0.310977969078065
bio4_mean,0.212187729536159,0.0975039633783173,0.0295406121515618,1994,0.934735087727142,-0.00108806836261661,Amphibia,SIZE,functional axis,Climatic seasonality,Ectotherm,0.0585391957180841
hfp2020,-0.00857628020254063,0.0198237872700241,0.665286702494947,1994,0.934735087727142,-0.00108806836261661,Amphibia,SIZE,functional axis,Human pressure,Ectotherm,0.722873973796893
bio1_mean,0.451151447563079,0.039269966034723,0,1994,0.966249029104189,-0.0292800547653602,Amphibia,PACE,functional axis,Ambient energy,Ectotherm,0
bio12_mean,0.194422353579546,0.028800763430736,1.47237777525788e-11,1994,0.966249029104189,-0.0292800547653602,Amphibia,PACE,functional axis,Water availability,Ectotherm,1.27213439782281e-10
npp,-0.0100546444481585,0.0138663488823596,0.468383832945448,1994,0.966249029104189,-0.0292800547653602,Amphibia,PACE,functional axis,Productivity,Ectotherm,0.552846491345447
elev_range,0.125551597791332,0.0126700579327013,0,1994,0.966249029104189,-0.0292800547653602,Amphibia,PACE,functional axis,Habitat heterogeneity,Ectotherm,0
bio4_mean,-0.112994477016644,0.080274714823287,0.159250328315442,1994,0.966249029104189,-0.0292800547653602,Amphibia,PACE,functional axis,Climatic seasonality,Ectotherm,0.255793437231287
hfp2020,-0.0378792942635699,0.0123759040561516,0.00220798494862606,1994,0.966249029104189,-0.0292800547653602,Amphibia,PACE,functional axis,Human pressure,Ectotherm,0.00581615547442963
bio1_mean,0.000754433242486439,0.0280171351936517,0.978517507411912,1994,0.983657644602782,-0.0274521155135877,Amphibia,NICHE,functional axis,Ambient energy,Ectotherm,0.983068751632432
bio12_mean,-0.043742932355852,0.0205574070574632,0.033350112315317,1994,0.983657644602782,-0.0274521155135877,Amphibia,NICHE,functional axis,Water availability,Ectotherm,0.0648975158568332
npp,0.00156977012563485,0.00980193239384668,0.872763666304181,1994,0.983657644602782,-0.0274521155135877,Amphibia,NICHE,functional axis,Productivity,Ectotherm,0.915130834571374
elev_range,-0.0662423256761442,0.00894846946198608,1.33448807559944e-13,1994,0.983657644602782,-0.0274521155135877,Amphibia,NICHE,functional axis,Habitat heterogeneity,Ectotherm,1.51710223331305e-12
bio4_mean,0.139346377107409,0.0654216028489528,0.0331736791917521,1994,0.983657644602782,-0.0274521155135877,Amphibia,NICHE,functional axis,Climatic seasonality,Ectotherm,0.0648975158568332
hfp2020,0.00832997029088271,0.00875877627007927,0.34158269689966,1994,0.983657644602782,-0.0274521155135877,Amphibia,NICHE,functional axis,Human pressure,Ectotherm,0.446943241105889
