term,estimate,se,p,n,lambda,resid_moran,class,response,response_type,hypothesis,thermal,p_adj
bio1_mean,-0.0719306459273666,0.0197233826946544,0.00026534770135056,3772,0.988582603461247,-0.0348983369705194,Aves,SIZE,functional axis,Ambient energy,Endotherm,0.000855449305846582
bio12_mean,0.0257936312715158,0.0246948559704357,0.296256849174073,3772,0.988582603461247,-0.0348983369705194,Aves,SIZE,functional axis,Water availability,Endotherm,0.415529087637373
npp,0.0171668300533501,0.0120818119626024,0.155351044832127,3772,0.988582603461247,-0.0348983369705194,Aves,SIZE,functional axis,Productivity,Endotherm,0.253499459985077
elev_range,-0.0887200010940252,0.00617391965321907,0,3772,0.988582603461247,-0.0348983369705194,Aves,SIZE,functional axis,Habitat heterogeneity,Endotherm,0
bio4_mean,0.0165570546257468,0.0353998972202418,0.639988580561212,3772,0.988582603461247,-0.0348983369705194,Aves,SIZE,functional axis,Climatic seasonality,Endotherm,0.712564605160937
hfp2020,0.00329615961676838,0.00759992061058604,0.664499230442329,3772,0.988582603461247,-0.0348983369705194,Aves,SIZE,functional axis,Human pressure,Endotherm,0.722873973796893
bio1_mean,0.0641503365041984,0.0165902365496649,0.000110294319724646,3772,0.989581364815919,-0.0544442547662048,Aves,PACE,functional axis,Ambient energy,Endotherm,0.000390550378041371
bio12_mean,0.0815058283240341,0.0207553273889234,8.60178773798292e-05,3772,0.989581364815919,-0.0544442547662048,Aves,PACE,functional axis,Water availability,Endotherm,0.000309664358567385
npp,-0.0151261479648732,0.0101453425843171,0.135975931205515,3772,0.989581364815919,-0.0544442547662048,Aves,PACE,functional axis,Productivity,Endotherm,0.231266150711741
elev_range,0.0149207139332015,0.00518398082249701,0.00399907383454479,3772,0.989581364815919,-0.0544442547662048,Aves,PACE,functional axis,Habitat heterogeneity,Endotherm,0.00981590850297357
bio4_mean,-0.0369356119620819,0.0298033899427039,0.215231054987816,3772,0.989581364815919,-0.0544442547662048,Aves,PACE,functional axis,Climatic seasonality,Endotherm,0.325104250890688
hfp2020,-0.0035835260696783,0.00638142677735146,0.574418824949891,3772,0.989581364815919,-0.0544442547662048,Aves,PACE,functional axis,Human pressure,Endotherm,0.670672790211764
bio1_mean,-0.0451402407256955,0.0144016742210798,0.00172220892951036,3772,0.992938612540626,-0.0230126420764174,Aves,NICHE,functional axis,Ambient energy,Endotherm,0.00489469906281892
