class,n,pct_meeting_30,median_protection,thermal
Amphibia,431,4.6,3.5,Ectotherm
Aves,1086,1.3,5.1,Endotherm
Mammalia,593,4.2,5.6,Endotherm
Reptilia,458,3.5,3,Ectotherm
