class,term,hypothesis,r2,p,p_adj,NMDS1,NMDS2
Aves,bio1_mean,Ambient energy,0.431014535700275,0.001,0.001,-0.349093134535556,-0.556011258087834
Aves,bio12_mean,Water availability,0.724077529442119,0.001,0.001,-0.566884804118043,-0.634601566577145
Aves,npp,Productivity,0.489968613656991,0.001,0.001,-0.256455741999123,-0.651305662536931
Aves,elev_range,Habitat heterogeneity,0.270091043934865,0.001,0.001,-0.287861938347418,0.432696831957125
Aves,bio4_mean,Climatic seasonality,0.698189410079019,0.001,0.001,0.806190333667407,-0.219650986750013
Aves,hfp2020,Human pressure,0.211976954114442,0.001,0.001,-0.219213283613764,-0.40487342516114
Mammalia,bio1_mean,Ambient energy,0.761709078428757,0.001,0.001,-0.769160045747002,0.412434118927164
Mammalia,bio12_mean,Water availability,0.690586349052568,0.001,0.001,-0.800803999686657,-0.222034463852847
Mammalia,npp,Productivity,0.364676252355288,0.001,0.001,-0.508272376431725,0.326091158591789
Mammalia,elev_range,Habitat heterogeneity,0.253010890945455,0.001,0.001,-0.0461870080672166,-0.500876882308671
Mammalia,bio4_mean,Climatic seasonality,0.76163472711186,0.001,0.001,0.455682231706912,0.744303990865606
Mammalia,hfp2020,Human pressure,0.324893838105686,0.001,0.001,-0.431563366379192,0.372353191076894
Reptilia,bio1_mean,Ambient energy,0.46888242004523,0.001,0.001,-0.680623387702144,-0.0750614691974954
Reptilia,bio12_mean,Water availability,0.691691361214646,0.001,0.001,-0.829776043188352,0.0562412603461944
Reptilia,npp,Productivity,0.503962936104089,0.001,0.001,-0.578029016628329,0.4121230302225
Reptilia,elev_range,Habitat heterogeneity,0.154677360503119,0.001,0.001,-0.14977413928609,-0.363655149426253
Reptilia,bio4_mean,Climatic seasonality,0.753429491617476,0.001,0.001,0.6822296801383,0.536649005548198
Reptilia,hfp2020,Human pressure,0.371712959324612,0.001,0.001,-0.52130075862154,0.31616210776312
Amphibia,bio1_mean,Ambient energy,0.669032821674373,0.001,0.001,-0.394773980824272,-0.716370243476466
Amphibia,bio12_mean,Water availability,0.515198139350007,0.001,0.001,-0.561041237367669,-0.447695062875348
Amphibia,npp,Productivity,0.462562883042957,0.001,0.001,-0.00377033652370391,-0.680109305630687
Amphibia,elev_range,Habitat heterogeneity,0.491460244726831,0.001,0.001,-0.397074045687347,0.577747736445859
Amphibia,bio4_mean,Climatic seasonality,0.865400936482974,0.001,0.001,0.922456107858993,0.120314860082255
Amphibia,hfp2020,Human pressure,0.352424297555551,0.001,0.001,-0.0070810964467219,-0.593611114812268
