class,index,term,estimate,p,r2,n,hypothesis,thermal,p_adj
Aves,FEve,bio1_mean,0.147330439959334,3.08375982639423e-06,0.558909745854304,1161,Ambient energy,Endotherm,4.72405760639116e-06
Aves,FEve,bio12_mean,0.523075916362094,6.1182935254774e-30,0.558909745854304,1161,Water availability,Endotherm,5.50646417292966e-29
Aves,FEve,npp,0.186763551272204,1.4739598401123e-06,0.558909745854304,1161,Productivity,Endotherm,2.41193428382013e-06
Aves,FEve,elev_range,-0.009401559880681,0.7168650039223,0.558909745854304,1161,Habitat heterogeneity,Endotherm,0.748033047571096
Aves,FEve,bio4_mean,0.632393520215517,1.26764034958526e-72,0.558909745854304,1161,Climatic seasonality,Endotherm,3.04233683900462e-71
Aves,FEve,hfp2020,0.0871102342387759,0.00307437208345805,0.558909745854304,1161,Human pressure,Endotherm,0.00375177610184711
Aves,FDis,bio1_mean,0.121085477051937,2.42429678091741e-09,0.818945767327302,1161,Ambient energy,Endotherm,4.71755049259605e-09
Aves,FDis,bio12_mean,0.584655780011303,2.94622968984817e-79,0.818945767327302,1161,Water availability,Endotherm,1.06064268834534e-77
Aves,FDis,npp,0.323433264404906,1.43287508988393e-36,0.818945767327302,1161,Productivity,Endotherm,1.47381437816633e-35
Aves,FDis,elev_range,0.0629269603206968,0.000158687911030379,0.818945767327302,1161,Habitat heterogeneity,Endotherm,0.000207736901712496
Aves,FDis,bio4_mean,0.229379982053996,1.06604491724706e-26,0.818945767327302,1161,Climatic seasonality,Endotherm,6.39626950348238e-26
Aves,FDis,hfp2020,0.0924226949140958,1.02839804571774e-06,0.818945767327302,1161,Human pressure,Endotherm,1.72196882073668e-06
Aves,RaoQ,bio1_mean,0.113890702769288,5.13611458098004e-08,0.80728335653341,1161,Ambient energy,Endotherm,9.01951828855031e-08
Aves,RaoQ,bio12_mean,0.645297555208815,1.0695155877878e-88,0.80728335653341,1161,Water availability,Endotherm,7.70051223207215e-87
Aves,RaoQ,npp,0.267022627929286,1.44911560448779e-24,0.80728335653341,1161,Productivity,Endotherm,6.52102022019505e-24
Aves,RaoQ,elev_range,0.0808313086061703,2.66991304986903e-06,0.80728335653341,1161,Habitat heterogeneity,Endotherm,4.17899433892543e-06
Aves,RaoQ,bio4_mean,0.331166849940191,1.57782612717005e-48,0.80728335653341,1161,Climatic seasonality,Endotherm,1.89339135260406e-47
Aves,RaoQ,hfp2020,0.132356145025513,1.47542241805883e-11,0.80728335653341,1161,Human pressure,Endotherm,3.42678755162051e-11
Mammalia,FEve,bio1_mean,-0.18361391110474,5.27025738384369e-09,0.564635959380529,1164,Ambient energy,Endotherm,9.72970593940373e-09
Mammalia,FEve,bio12_mean,-0.296037111080829,3.37021765515341e-11,0.564635959380529,1164,Water availability,Endotherm,7.58298972409517e-11
Mammalia,FEve,npp,-0.0899073135062337,0.0186304890948228,0.564635959380529,1164,Productivity,Endotherm,0.0209593002316756
Mammalia,FEve,elev_range,0.415318887847754,1.2789790466262e-52,0.564635959380529,1164,Habitat heterogeneity,Endotherm,2.30216228392716e-51
Mammalia,FEve,bio4_mean,0.501473802039399,3.59157468564304e-49,0.564635959380529,1164,Climatic seasonality,Endotherm,5.17186754732598e-48
Mammalia,FEve,hfp2020,0.249076128657566,3.55703655376036e-17,0.564635959380529,1164,Human pressure,Endotherm,1.28053315935373e-16
Mammalia,FDis,bio1_mean,0.00706567034503899,0.801006793950031,0.648935896279923,1164,Ambient energy,Endotherm,0.812288579780313
