response,predictor,quantity,n_clades,n_endo,n_ecto,endo_mean,ecto_mean,contrast,se,t,p,model,p_adj
SES.body_mass.var,ax_structure,strength,22,11,11,0.0403,0.0462,0.0067,0.0174,0.386,0.704055681983721,lmer (1|class/order),0.862108998347414
SES.body_mass.var,ax_structure,direction,22,11,11,-0.0197,-0.0157,0.004,0.0239,0.167,0.869298671472319,lmer (1|class/order),0.915051233128757
SES.body_mass.var,ax_human,strength,22,11,11,0.0208,0.0776,0.0568,0.0169,3.373,0.00361366555811303,lmer (1|class/order),0.108409966743391
SES.body_mass.var,ax_human,direction,22,11,11,-0.0026,-0.0081,-0.0158,0.0578,-0.273,0.788145887285506,lmer (1|class/order),0.894030233157479
SES.habitat_breadth.mean,ax_thermal,strength,22,11,11,0.1545,0.3265,0.172,0.0844,2.039,0.0573515625126516,lmer (1|class/order),0.286757812563258
SES.habitat_breadth.mean,ax_thermal,direction,22,11,11,-0.0765,-0.0491,0.0658,0.218,0.302,0.766420272816738,lmer (1|class/order),0.894030233157479
SES.habitat_breadth.mean,ax_water,strength,22,11,11,0.1127,0.1827,0.07,0.0734,0.953,0.353939785361802,lmer (1|class/order),0.758442397203862
SES.habitat_breadth.mean,ax_water,direction,22,11,11,-0.0247,-0.0702,-0.0223,0.1638,-0.136,0.893189736811401,lmer (1|class/order),0.923989382908345
SES.habitat_breadth.mean,ax_productivity,strength,22,11,11,0.0642,0.1315,0.0876,0.0781,1.123,0.277198730000782,lmer (1|class/order),0.758442397203862
SES.habitat_breadth.mean,ax_productivity,direction,22,11,11,-0.021,-0.0742,-0.0824,0.1152,-0.715,0.484117372235717,lmer (1|class/order),0.830972149718815
SES.habitat_breadth.mean,ax_structure,strength,22,11,11,0.055,0.0728,0.0177,0.0245,0.723,0.479455556566983,lmer (1|class/order),0.830972149718815
SES.habitat_breadth.mean,ax_structure,direction,22,11,11,-0.0346,-0.0586,-0.0242,0.0315,-0.769,0.452275331619611,lmer (1|class/order),0.830972149718815
SES.habitat_breadth.mean,ax_human,strength,22,11,11,0.0315,0.0873,0.0594,0.0248,2.392,0.028604239943478,lmer (1|class/order),0.203026112578739
SES.habitat_breadth.mean,ax_human,direction,22,11,11,0.0066,-0.0327,-0.0482,0.0502,-0.961,0.349913358835549,lmer (1|class/order),0.758442397203862
SES.habitat_breadth.var,ax_thermal,strength,22,11,11,0.2067,0.2485,0.0418,0.0745,0.561,0.581825180913436,lmer (1|class/order),0.830972149718815
SES.habitat_breadth.var,ax_thermal,direction,22,11,11,0.0554,0.0144,-0.041,0.1252,-0.327,0.747302313944472,lmer (1|class/order),0.894030233157479
SES.habitat_breadth.var,ax_water,strength,22,11,11,0.1392,0.1352,-0.0029,0.0765,-0.038,0.970196753089668,lmer (1|class/order),0.970196753089668
SES.habitat_breadth.var,ax_water,direction,22,11,11,0.0683,-0.0294,-0.0715,0.142,-0.504,0.620949522950033,lmer (1|class/order),0.846749349477318
SES.habitat_breadth.var,ax_productivity,strength,22,11,11,0.0308,0.1349,0.1042,0.0306,3.404,0.00337710136771342,lmer (1|class/order),0.108409966743391
SES.habitat_breadth.var,ax_productivity,direction,22,11,11,-0.0049,-0.0438,-0.0579,0.0927,-0.625,0.540042437214907,lmer (1|class/order),0.830972149718815
SES.habitat_breadth.var,ax_structure,strength,22,11,11,0.0342,0.0824,0.0482,0.0187,2.573,0.0197618311843339,lmer (1|class/order),0.203026112578739
SES.habitat_breadth.var,ax_structure,direction,22,11,11,0,-0.0383,-0.0383,0.0316,-1.213,0.241790860305874,lmer (1|class/order),0.738998474492385
SES.habitat_breadth.var,ax_human,strength,22,11,11,0.0229,0.074,0.0613,0.0467,1.315,0.206114653750343,lmer (1|class/order),0.687048845834477
SES.habitat_breadth.var,ax_human,direction,22,11,11,0.0154,-0.0521,-0.0769,0.0451,-1.704,0.106546373875611,lmer (1|class/order),0.45662731660976
