term,estimate,se,p,class,response,het_proxy,n,thermal,p_adj
(Intercept),-0.0104487264951168,0.208192764262643,0.959972772990271,Aves,size,elev_range,3772,Endotherm,0.990247327351799
bio1_mean,-0.071930645919534,0.0197233826947768,0.000265347701783769,Aves,size,elev_range,3772,Endotherm,0.0010741786481849
bio12_mean,0.0257936312747851,0.0246948559704871,0.296256849113859,Aves,size,elev_range,3772,Endotherm,0.468434359069443
npp,0.01716683005264,0.0120818119625724,0.155351044848193,Aves,size,elev_range,3772,Endotherm,0.282151086859421
bio4_mean,0.0165570546067171,0.0353998972206285,0.63998858094934,Aves,size,elev_range,3772,Endotherm,0.842872386029829
hfp2020,0.00329615961678903,0.00759992061056478,0.664499230439474,Aves,size,elev_range,3772,Endotherm,0.868102260412607
elev_range,-0.0887200010940961,0.00617391965320139,0,Aves,size,elev_range,3772,Endotherm,0
(Intercept),0.0203078268779774,0.186532629675003,0.913305518852446,Aves,fecundity,elev_range,3772,Endotherm,0.988429290129263
bio1_mean,-0.0638599869954895,0.0171050687208054,0.000188915576896376,Aves,fecundity,elev_range,3772,Endotherm,0.00078364980045904
bio12_mean,-0.0860463129480142,0.0214100155210288,5.84519203392642e-05,Aves,fecundity,elev_range,3772,Endotherm,0.00027661753850694
npp,0.0149852859556647,0.0104711675914195,0.152401611607923,Aves,fecundity,elev_range,3772,Endotherm,0.277544398375404
bio4_mean,0.0402267188006713,0.0307111915059366,0.190250279821435,Aves,fecundity,elev_range,3772,Endotherm,0.332073215688322
hfp2020,0.00360401611749447,0.00658661181149131,0.584259886599873,Aves,fecundity,elev_range,3772,Endotherm,0.788398883122721
elev_range,-0.0107554508834547,0.00535071324669029,0.0444209583671196,Aves,fecundity,elev_range,3772,Endotherm,0.0978717508941126
(Intercept),0.0191336970946458,0.215563563968603,0.929271633087358,Aves,nocturnality,elev_range,3772,Endotherm,0.988429290129263
bio1_mean,0.0282236588781616,0.0283875997105865,0.320113381467779,Aves,nocturnality,elev_range,3772,Endotherm,0.491132859238237
bio12_mean,0.0895442120590296,0.0356951761140015,0.0121217447450988,Aves,nocturnality,elev_range,3772,Endotherm,0.0327141063000255
npp,-0.0179318672071259,0.0175439713888592,0.306728878198687,Aves,nocturnality,elev_range,3772,Endotherm,0.478207498640257
bio4_mean,0.00433039394689364,0.0506863855548943,0.931915528162667,Aves,nocturnality,elev_range,3772,Endotherm,0.988429290129263
hfp2020,0.010669344566208,0.0110397164339988,0.333818573807566,Aves,nocturnality,elev_range,3772,Endotherm,0.507525071490237
elev_range,-0.0285487766106975,0.00896878695273016,0.00145694328851786,Aves,nocturnality,elev_range,3772,Endotherm,0.00494477722163639
(Intercept),0.0675468132235482,0.254412088368072,0.790623087435232,Aves,verticality,elev_range,3772,Endotherm,0.949043133590307
bio1_mean,0.028183916155689,0.0117519224453725,0.0164741221206688,Aves,verticality,elev_range,3772,Endotherm,0.0416188348311633
bio12_mean,0.0524286959835945,0.0146555332529677,0.000347029700931589,Aves,verticality,elev_range,3772,Endotherm,0.00134025263808062
npp,-0.00675998889869512,0.00713603299660763,0.343484157516562,Aves,verticality,elev_range,3772,Endotherm,0.517536667827645
bio4_mean,0.00894828291937723,0.0211803496194468,0.672674392283227,Aves,verticality,elev_range,3772,Endotherm,0.869302291566016
hfp2020,0.00670754789421702,0.00448766601690212,0.13500244185825,Aves,verticality,elev_range,3772,Endotherm,0.25270652069288
elev_range,0.038068146076308,0.00364523810054309,0,Aves,verticality,elev_range,3772,Endotherm,0
(Intercept),-0.0100956469369477,0.228117573083019,0.964700079953881,Aves,habitat_breadth,elev_range,3772,Endotherm,0.990247327351799
bio1_mean,-0.0387052084619561,0.0162733006057807,0.0173856622641713,Aves,habitat_breadth,elev_range,3772,Endotherm,0.0434318403030598
bio12_mean,-0.0250973293332943,0.0203310085796006,0.217040473463396,Aves,habitat_breadth,elev_range,3772,Endotherm,0.370180706008634
npp,-0.00816722487538558,0.00992225932107976,0.410438909287629,Aves,habitat_breadth,elev_range,3772,Endotherm,0.599597710959318
bio4_mean,0.0315463526917008,0.0292771493191644,0.281253529955429,Aves,habitat_breadth,elev_range,3772,Endotherm,0.451325019094176
hfp2020,0.0148620635563061,0.00624051447043293,0.0172402028153413,Aves,habitat_breadth,elev_range,3772,Endotherm,0.0433910722543422
elev_range,-0.076399847211492,0.00506935399976221,0,Aves,habitat_breadth,elev_range,3772,Endotherm,0
(Intercept),-0.0344460145347457,0.231942449069494,0.881939473216813,Aves,range_size,elev_range,3772,Endotherm,0.986128662232444
bio1_mean,-0.0519558006576835,0.0146083181566304,0.000375699574872712,Aves,range_size,elev_range,3772,Endotherm,0.00143448928587763
bio12_mean,-0.0498999496642299,0.0182387323304629,0.00622036895547318,Aves,range_size,elev_range,3772,Endotherm,0.0178636236669999
npp,-0.00704762167624453,0.00889400319712254,0.42812659184659,Aves,range_size,elev_range,3772,Endotherm,0.617384269787357
bio4_mean,-0.0230164823857467,0.0262995473964857,0.381483327522377,Aves,range_size,elev_range,3772,Endotherm,0.56466254646484
hfp2020,0.0226151579655907,0.00559356603162732,5.2756709024937e-05,Aves,range_size,elev_range,3772,Endotherm,0.000255728712392383
elev_range,-0.0853607782928584,0.00454373283799783,0,Aves,range_size,elev_range,3772,Endotherm,0
(Intercept),-0.0201741927598625,0.191515376833176,0.916106177555003,Aves,PACE,elev_range,3772,Endotherm,0.988429290129263
bio1_mean,0.0641503365041985,0.0165902365496649,0.000110294319724646,Aves,PACE,elev_range,3772,Endotherm,0.000475113992660015
bio12_mean,0.0815058283240339,0.0207553273889234,8.60178773798292e-05,Aves,PACE,elev_range,3772,Endotherm,0.000382808037081094
npp,-0.0151261479648732,0.0101453425843171,0.135975931205515,Aves,PACE,elev_range,3772,Endotherm,0.253821738250294
bio4_mean,-0.0369356119620822,0.0298033899427039,0.215231054987813,Aves,PACE,elev_range,3772,Endotherm,0.368028674177635
hfp2020,-0.00358352606967831,0.00638142677735147,0.57441882494989,Aves,PACE,elev_range,3772,Endotherm,0.776678974580133
elev_range,0.0149207139332015,0.00518398082249701,0.00399907383454479,Aves,PACE,elev_range,3772,Endotherm,0.0121053045802437
(Intercept),-0.0252712154986883,0.243790894509367,0.917439654781512,Aves,NICHE,elev_range,3772,Endotherm,0.988429290129263
bio1_mean,-0.0451402407361073,0.0144016742209813,0.00172220892514097,Aves,NICHE,elev_range,3772,Endotherm,0.00581570049092829
bio12_mean,-0.037696937854236,0.0179755064935801,0.0359822465809376,Aves,NICHE,elev_range,3772,Endotherm,0.0814143761023235
npp,-0.00776109120689408,0.00876247191625008,0.375768761568773,Aves,NICHE,elev_range,3772,Endotherm,0.558355870618643
bio4_mean,0.000864091145313975,0.0259349702695105,0.97342131325033,Aves,NICHE,elev_range,3772,Endotherm,0.990247327351799
hfp2020,0.0191045851347782,0.00551074829330637,0.000526721019421972,Aves,NICHE,elev_range,3772,Endotherm,0.00196642513917536
elev_range,-0.0820768879102301,0.00447641680282791,0,Aves,NICHE,elev_range,3772,Endotherm,0
(Intercept),0.0135470953649989,0.180628893410741,0.940215027461414,Mammalia,size,elev_range,3782,Endotherm,0.988770733104961
