term,estimate,se,p,class,response,het_proxy,n,thermal,p_adj
bio1_mean,-0.123354950129058,0.0191022574311558,1.06368691632497e-10,Mammalia,size,elev_range,3782,Endotherm,1.23240966856962e-09
bio12_mean,-0.0940877029607137,0.0235522365263567,6.47346346733801e-05,Mammalia,size,elev_range,3782,Endotherm,0.000300011548279389
npp,0.0179205011776283,0.0116087617700312,0.122659864810849,Mammalia,size,elev_range,3782,Endotherm,0.233505465022354
bio4_mean,-0.111684678175255,0.0343736753875559,0.00115756925474075,Mammalia,size,elev_range,3782,Endotherm,0.00400972442879271
hfp2020,-0.00142799342842544,0.00739258955768678,0.846829338835017,Mammalia,size,elev_range,3782,Endotherm,0.974433759755362
elev_range,0.00605691295245933,0.00598142285564751,0.311241340363942,Mammalia,size,elev_range,3782,Endotherm,0.480814208562227
(Intercept),-0.0270972038727112,0.209548637159016,0.897110585828771,Mammalia,fecundity,elev_range,3782,Endotherm,0.988429290129263
bio1_mean,0.0105660951202893,0.0140488290720443,0.451992174853278,Mammalia,fecundity,elev_range,3782,Endotherm,0.642153787529393
bio12_mean,-0.127988400190618,0.0172537118530332,1.18793863634892e-13,Mammalia,fecundity,elev_range,3782,Endotherm,2.41907504129234e-12
npp,0.0064591520769373,0.00846975945252802,0.445693989021992,Mammalia,fecundity,elev_range,3782,Endotherm,0.635894608540931
bio4_mean,0.05853983920204,0.0253874537292239,0.0211186211283729,Mammalia,fecundity,elev_range,3782,Endotherm,0.0512336223764137
hfp2020,0.00649084074734089,0.00539242068116264,0.228706701420913,Mammalia,fecundity,elev_range,3782,Endotherm,0.385190233972065
elev_range,-0.0142575826216586,0.00436288462258565,0.00108338817131748,Mammalia,fecundity,elev_range,3782,Endotherm,0.00379185859961118
(Intercept),-0.00645516290323127,0.133232611012289,0.961357355216456,Mammalia,nocturnality,elev_range,3782,Endotherm,0.990247327351799
bio1_mean,0.260336187654409,0.0223647279459411,0,Mammalia,nocturnality,elev_range,3782,Endotherm,0
bio12_mean,0.154416820098712,0.027815541310414,2.83296157643775e-08,Mammalia,nocturnality,elev_range,3782,Endotherm,2.44070535816176e-07
npp,-0.0350373437093054,0.0138254879094258,0.0112685955062131,Mammalia,nocturnality,elev_range,3782,Endotherm,0.0307825047974601
bio4_mean,-0.0394635405178667,0.0398046967654067,0.321476025195875,Mammalia,nocturnality,elev_range,3782,Endotherm,0.492099974787307
hfp2020,-0.0251151520967574,0.00880984158777517,0.00436085230624239,Mammalia,nocturnality,elev_range,3782,Endotherm,0.0130825569187272
elev_range,0.0393485984990713,0.00712822994916418,3.38791552589868e-08,Mammalia,nocturnality,elev_range,3782,Endotherm,2.88187244734672e-07
(Intercept),0.0238123236205513,0.190921153974472,0.900742580608111,Mammalia,verticality,elev_range,3782,Endotherm,0.988429290129263
bio1_mean,0.0779722206321335,0.0148426521474234,1.49435287921662e-07,Mammalia,verticality,elev_range,3782,Endotherm,1.12832037621749e-06
bio12_mean,0.133242666415181,0.0182460598370784,2.8244073746464e-13,Mammalia,verticality,elev_range,3782,Endotherm,5.27222709933994e-12
npp,-0.0090915269944924,0.00896619720008227,0.310593234647321,Mammalia,verticality,elev_range,3782,Endotherm,0.480814208562227
bio4_mean,-0.0368819292138407,0.0267959161993169,0.168697479749804,Mammalia,verticality,elev_range,3782,Endotherm,0.300702138970473
hfp2020,-0.00460548673188341,0.00570876581850481,0.419816596863062,Mammalia,verticality,elev_range,3782,Endotherm,0.60801024373271
elev_range,0.011978141322978,0.00461890306561553,0.00950634009373141,Mammalia,verticality,elev_range,3782,Endotherm,0.0265073051576245
(Intercept),0.00155514182355414,0.175695010606436,0.992937719492673,Mammalia,habitat_breadth,elev_range,3782,Endotherm,0.997398726225881
bio1_mean,-0.136090801137715,0.0312305473400284,1.3148549918407e-05,Mammalia,habitat_breadth,elev_range,3782,Endotherm,7.12566576223345e-05
bio12_mean,-0.118118932719187,0.0389046427249205,0.0023964869047024,Mammalia,habitat_breadth,elev_range,3782,Endotherm,0.00763241326995267
npp,0.0560956794921332,0.0193673559224607,0.0037746658868334,Mammalia,habitat_breadth,elev_range,3782,Endotherm,0.0114777170857558
bio4_mean,-0.22841353926563,0.0554600272898733,3.81304302334851e-05,Mammalia,habitat_breadth,elev_range,3782,Endotherm,0.000191221262066433
hfp2020,0.0127462425921342,0.0123428452704418,0.301752419245315,Mammalia,habitat_breadth,elev_range,3782,Endotherm,0.476003816274299
elev_range,-0.0402101453447555,0.00998686511699036,5.66606587037999e-05,Mammalia,habitat_breadth,elev_range,3782,Endotherm,0.000271971161778239
(Intercept),-0.0144651624650923,0.209891011177829,0.94505529357443,Mammalia,range_size,elev_range,3782,Endotherm,0.989647025293265
bio1_mean,-0.0115795961484508,0.0219395336412887,0.597640995396887,Mammalia,range_size,elev_range,3782,Endotherm,0.804839176165747
bio12_mean,-0.121799081811972,0.027046589198457,6.69042743095538e-06,Mammalia,range_size,elev_range,3782,Endotherm,3.94383090666844e-05
npp,0.030938315001154,0.0133292152325117,0.0202819593872698,Mammalia,range_size,elev_range,3782,Endotherm,0.0497426157235231
bio4_mean,-0.120881688878693,0.039485724640275,0.00220302862846578,Mammalia,range_size,elev_range,3782,Endotherm,0.00713348983384404
hfp2020,0.0242165270155989,0.00848811552473794,0.00433096905210784,Mammalia,range_size,elev_range,3782,Endotherm,0.0130511713139752
elev_range,-0.0586909201506242,0.00686781931985609,0,Mammalia,range_size,elev_range,3782,Endotherm,0
(Intercept),0.0232288368583553,0.206502929245133,0.91043750005726,Mammalia,PACE,elev_range,3782,Endotherm,0.988429290129263
bio1_mean,0.010151619945456,0.0135336145332284,0.45319200165455,Mammalia,PACE,elev_range,3782,Endotherm,0.642500052978603
bio12_mean,0.140434448722757,0.0166188643947368,0,Mammalia,PACE,elev_range,3782,Endotherm,0
npp,-0.00943843708936747,0.00815696669771048,0.247230959623469,Mammalia,PACE,elev_range,3782,Endotherm,0.408204434562583
bio4_mean,-0.0371647775334368,0.0244594659403549,0.128650889290391,Mammalia,PACE,elev_range,3782,Endotherm,0.242846622480738
hfp2020,-0.00608010277106115,0.00519324422457913,0.241690602364201,Mammalia,PACE,elev_range,3782,Endotherm,0.40301758012095
elev_range,0.0127906224517943,0.00420172529307461,0.00233349767918933,Mammalia,PACE,elev_range,3782,Endotherm,0.00746719257340587
(Intercept),-0.00462138577541368,0.198287916707221,0.981405833357586,Mammalia,NICHE,elev_range,3782,Endotherm,0.990247327351799
bio1_mean,-0.0822514195582043,0.0267442338909298,0.0021016235999991,Mammalia,NICHE,elev_range,3782,Endotherm,0.00688922467902145
bio12_mean,-0.130578044408229,0.0330982868403189,7.97466406361469e-05,Mammalia,NICHE,elev_range,3782,Endotherm,0.000357264950049938
npp,0.0479942983268082,0.0163733740022461,0.00337611211070277,Mammalia,NICHE,elev_range,3782,Endotherm,0.0104070978825333
bio4_mean,-0.193669516239955,0.0479089806713556,5.28962664025912e-05,Mammalia,NICHE,elev_range,3782,Endotherm,0.000255728712392383
hfp2020,0.0197571907799487,0.0104294322712809,0.0581760787480665,Mammalia,NICHE,elev_range,3782,Endotherm,0.123716218097154
elev_range,-0.0536631847970674,0.00843865477613861,2.02792893588821e-10,Mammalia,NICHE,elev_range,3782,Endotherm,2.30977668629979e-09
(Intercept),0.0289571003813898,0.0835407926627367,0.728875102255688,Reptilia,size,elev_range,3196,Ectotherm,0.914833059913879
bio1_mean,0.120982012402162,0.0316075433978527,0.000129382536096845,Reptilia,size,elev_range,3196,Ectotherm,0.00055028521681696
bio12_mean,0.348782861877921,0.0458017817870754,2.64233079860787e-14,Reptilia,size,elev_range,3196,Ectotherm,5.54889467707653e-13
npp,-0.115747871132987,0.0230983060617428,5.41203936776924e-07,Reptilia,size,elev_range,3196,Ectotherm,3.78842755743847e-06
bio4_mean,-0.0809569179042417,0.0577631718161621,0.161055127145619,Reptilia,size,elev_range,3196,Ectotherm,0.290158298771732
hfp2020,0.0985570626827369,0.0152563351831284,1.04651398658007e-10,Reptilia,size,elev_range,3196,Ectotherm,1.23240966856962e-09
elev_range,-0.0116460174143038,0.0131658238010278,0.376391680640246,Reptilia,size,elev_range,3196,Ectotherm,0.558355870618643
(Intercept),0.0230415766210625,0.112965274158001,0.838376599123005,Reptilia,fecundity,elev_range,3196,Ectotherm,0.970961134563947
bio1_mean,0.178938679221248,0.0294147368446723,1.17733489624072e-09,Reptilia,fecundity,elev_range,3196,Ectotherm,1.21718315426733e-08
bio12_mean,0.203134543776409,0.0417249896008979,1.12497184079352e-06,Reptilia,fecundity,elev_range,3196,Ectotherm,7.63617249508329e-06
npp,-0.124771048594985,0.0203616811600824,8.91371643163552e-10,Reptilia,fecundity,elev_range,3196,Ectotherm,9.819700724687e-09
bio4_mean,-0.134999530925628,0.0571814018056348,0.0182306807351023,Reptilia,fecundity,elev_range,3196,Ectotherm,0.0450405053455468
hfp2020,0.064424600322751,0.0134098678762398,1.55318606775978e-06,Reptilia,fecundity,elev_range,3196,Ectotherm,1.00359715147555e-05
elev_range,0.0134220375229437,0.0115410362109179,0.244836097246853,Reptilia,fecundity,elev_range,3196,Ectotherm,0.405750775291183
(Intercept),0.00316599117317266,0.110214151370497,0.977083268549421,Reptilia,nocturnality,elev_range,3196,Ectotherm,0.990247327351799
bio1_mean,0.141301805449594,0.0278817132007123,4.02223222284448e-07,Reptilia,nocturnality,elev_range,3196,Ectotherm,2.87546814228882e-06
bio12_mean,0.277170060680102,0.0394883372543344,2.23399077015074e-12,Reptilia,nocturnality,elev_range,3196,Ectotherm,3.41191317623022e-11
npp,-0.0540569896760828,0.0192375141475956,0.00495449013746141,Reptilia,nocturnality,elev_range,3196,Ectotherm,0.0146027077735705
bio4_mean,0.0233260362431367,0.0543774496472361,0.667948514356638,Reptilia,nocturnality,elev_range,3196,Ectotherm,0.869302291566016
hfp2020,-0.00609163798719786,0.0126676042377584,0.630599517763027,Reptilia,nocturnality,elev_range,3196,Ectotherm,0.839134407795553
elev_range,0.00544751277828522,0.0109012369838841,0.617275695411412,Reptilia,nocturnality,elev_range,3196,Ectotherm,0.827962609414109
(Intercept),0.0177550427318714,0.166420901405869,0.915036838476404,Reptilia,verticality,elev_range,3196,Ectotherm,0.988429290129263
bio1_mean,0.00218277909992511,0.0240727039793354,0.92775127601009,Reptilia,verticality,elev_range,3196,Ectotherm,0.988429290129263
bio12_mean,-0.0806240617126146,0.0333484683435283,0.0156222046828469,Reptilia,verticality,elev_range,3196,Ectotherm,0.0400691662094394
npp,0.0304787542194596,0.0159237048661405,0.0556138722813178,Reptilia,verticality,elev_range,3196,Ectotherm,0.119020771251737
bio4_mean,-0.10712437267426,0.0487143049405292,0.0278755634473427,Reptilia,verticality,elev_range,3196,Ectotherm,0.0652696119742657
hfp2020,-0.000160871590771515,0.0104678386172484,0.987738451953202,Reptilia,verticality,elev_range,3196,Ectotherm,0.99514278817474
elev_range,0.0418024722772105,0.00900220540298207,3.42421230481449e-06,Reptilia,verticality,elev_range,3196,Ectotherm,2.11107400810581e-05
(Intercept),0.0409454319422597,0.17485475533267,0.814854363161007,Reptilia,habitat_breadth,elev_range,3196,Ectotherm,0.960670407095081
bio1_mean,-0.184187796008181,0.0194897201995002,0,Reptilia,habitat_breadth,elev_range,3196,Ectotherm,0
bio12_mean,-0.00708515758302705,0.0268517338163818,0.791886102979861,Reptilia,habitat_breadth,elev_range,3196,Ectotherm,0.949043133590307
npp,0.021129766636432,0.0127641133782561,0.0978425387339994,Reptilia,habitat_breadth,elev_range,3196,Ectotherm,0.192815794807178
bio4_mean,-0.0637213747055888,0.0397237357241877,0.108689070190665,Reptilia,habitat_breadth,elev_range,3196,Ectotherm,0.21026447744159
hfp2020,0.0244778063765514,0.00838823148126108,0.00352156835316064,Reptilia,habitat_breadth,elev_range,3196,Ectotherm,0.0108059083713422
elev_range,-0.0407456431027307,0.00721314413052001,1.61567195178236e-08,Reptilia,habitat_breadth,elev_range,3196,Ectotherm,1.42764516329986e-07
(Intercept),0.0420365629128642,0.123224792502887,0.73300028392222,Reptilia,range_size,elev_range,3196,Ectotherm,0.914833059913879
bio1_mean,-0.165993834333222,0.0335763095880898,7.66227943316267e-07,Reptilia,range_size,elev_range,3196,Ectotherm,5.30830080318073e-06
bio12_mean,0.0491622131631529,0.0477490897840723,0.303200270909028,Reptilia,range_size,elev_range,3196,Ectotherm,0.476519525667163
npp,0.0211370520838102,0.023368258007887,0.365719839630486,Reptilia,range_size,elev_range,3196,Ectotherm,0.546141627181526
bio4_mean,0.177767949670474,0.064914707570789,0.00617229855412393,Reptilia,range_size,elev_range,3196,Ectotherm,0.017801650765542
hfp2020,0.0243788307002141,0.0153938633959858,0.113268375844295,Reptilia,range_size,elev_range,3196,Ectotherm,0.217747597476335
elev_range,0.0165461198251245,0.0132507093385927,0.211775950968597,Reptilia,range_size,elev_range,3196,Ectotherm,0.363044487374737
(Intercept),0.00651616431946961,0.149444822996893,0.965221277952992,Reptilia,PACE,elev_range,3196,Ectotherm,0.990247327351799
bio1_mean,-0.21098737211839,0.0295223504134014,8.888445535149e-13,Reptilia,PACE,elev_range,3196,Ectotherm,1.49325884990503e-11
bio12_mean,-0.046153176868784,0.0413225341137139,0.264036686048923,Reptilia,PACE,elev_range,3196,Ectotherm,0.432762568353357
npp,0.102493690662334,0.01990393007906,2.61293538361684e-07,Reptilia,PACE,elev_range,3196,Ectotherm,1.92955228328628e-06
bio4_mean,0.182599208490344,0.0588241393835969,0.0019082374798276,Reptilia,PACE,elev_range,3196,Ectotherm,0.00634819597249578
hfp2020,-0.0188459319413266,0.0130934829505062,0.150055119219404,Reptilia,PACE,elev_range,3196,Ectotherm,0.274013695965869
elev_range,-0.0348376147182209,0.0112625578157789,0.00197994592202333,Reptilia,PACE,elev_range,3196,Ectotherm,0.00655430374187033
(Intercept),0.0539890681637001,0.167603853696892,0.747359460457456,Reptilia,NICHE,elev_range,3196,Ectotherm,0.923208745270975
bio1_mean,-0.185115175977797,0.0214687924255379,0,Reptilia,NICHE,elev_range,3196,Ectotherm,0
bio12_mean,0.00321890005150258,0.0296563715684743,0.913567419869595,Reptilia,NICHE,elev_range,3196,Ectotherm,0.988429290129263
npp,0.0209974107919199,0.0141277914485293,0.137213366893325,Reptilia,NICHE,elev_range,3196,Ectotherm,0.255265649725515
bio4_mean,-0.0216941968443912,0.0436113430967943,0.618876050436228,Reptilia,NICHE,elev_range,3196,Ectotherm,0.828455589428576
hfp2020,0.0251949338076695,0.00928570883434833,0.00666163335805337,Reptilia,NICHE,elev_range,3196,Ectotherm,0.0190494366664335
elev_range,-0.0283628812892602,0.00798523568153079,0.000382437855165119,Reptilia,NICHE,elev_range,3196,Ectotherm,0.00145196745011842
(Intercept),-0.00917374726449834,0.108366752821978,0.932535967175525,Amphibia,size,elev_range,1994,Ectotherm,0.988429290129263
bio1_mean,-0.297289140952393,0.0614477315213,1.31098303235433e-06,Amphibia,size,elev_range,1994,Ectotherm,8.72258017566445e-06
bio12_mean,0.00308589103833189,0.0451146474164385,0.945466354521244,Amphibia,size,elev_range,1994,Ectotherm,0.989647025293265
npp,-0.0184060820192454,0.0222313672949438,0.407708460135827,Amphibia,size,elev_range,1994,Ectotherm,0.59690650372827
bio4_mean,0.212187729060289,0.0975039634608559,0.0295406126540334,Amphibia,size,elev_range,1994,Ectotherm,0.068452730012105
hfp2020,-0.00857628020105172,0.0198237872699504,0.665286702548352,Amphibia,size,elev_range,1994,Ectotherm,0.868102260412607
elev_range,0.0259529638307904,0.0203864092631201,0.202999507592624,Amphibia,size,elev_range,1994,Ectotherm,0.350682953990343
(Intercept),0.0387604290458051,0.130941060065378,0.767219144333536,Amphibia,fecundity,elev_range,1994,Ectotherm,0.932316934886322
bio1_mean,-0.449197391161331,0.0399241627969856,0,Amphibia,fecundity,elev_range,1994,Ectotherm,0
bio12_mean,-0.197807814942615,0.0292805375319884,1.42237333022877e-11,Amphibia,fecundity,elev_range,1994,Ectotherm,1.87418603512496e-10
npp,0.0109036806496603,0.0140984701906323,0.439288887500083,Amphibia,fecundity,elev_range,1994,Ectotherm,0.628723801240339
bio4_mean,0.115629916669657,0.0815244417339003,0.156089590935634,Amphibia,fecundity,elev_range,1994,Ectotherm,0.282728315656997
hfp2020,0.0387162128165321,0.0125829870128943,0.00209186645187387,Amphibia,fecundity,elev_range,1994,Ectotherm,0.00688922467902145
elev_range,-0.128296012701963,0.0128822748763451,0,Amphibia,fecundity,elev_range,1994,Ectotherm,0
(Intercept),-0.0251227939679324,0.165822505808078,0.879578055596677,Amphibia,nocturnality,elev_range,1994,Ectotherm,0.985127422268278
bio1_mean,0.14754725873647,0.0356884449327011,3.56015526683517e-05,Amphibia,nocturnality,elev_range,1994,Ectotherm,0.000181244268129791
bio12_mean,0.0970060389864899,0.0261787909892751,0.000210957310082582,Amphibia,nocturnality,elev_range,1994,Ectotherm,0.0008697135728558
npp,0.0137365951671196,0.0125295765480103,0.272932831221867,Amphibia,nocturnality,elev_range,1994,Ectotherm,0.444094098259309
bio4_mean,-0.0494875546171969,0.0791524038596764,0.531827600156702,Amphibia,nocturnality,elev_range,1994,Ectotherm,0.730855106963812
hfp2020,-0.00934879228247835,0.011189994944229,0.403458804477611,Amphibia,nocturnality,elev_range,1994,Ectotherm,0.591974490412565
elev_range,0.0503797406321859,0.0114417535350396,1.066910516756e-05,Amphibia,nocturnality,elev_range,1994,Ectotherm,6.07596497677995e-05
(Intercept),0.00655367337768013,0.164688289347608,0.968257032541885,Amphibia,verticality,elev_range,1994,Ectotherm,0.990247327351799
bio1_mean,0.0650952820284276,0.0634929871606975,0.305251950792307,Amphibia,verticality,elev_range,1994,Ectotherm,0.478110014600136
bio12_mean,-0.0797788570994936,0.046569679484499,0.0866928043897217,Amphibia,verticality,elev_range,1994,Ectotherm,0.174423845957763
npp,-0.0271891543974625,0.0225632393068368,0.228195585079077,Amphibia,verticality,elev_range,1994,Ectotherm,0.385190233972065
bio4_mean,0.013444899428646,0.119762542154082,0.910614896835899,Amphibia,verticality,elev_range,1994,Ectotherm,0.988429290129263
hfp2020,-0.0392151792592906,0.0201290740782302,0.0513927176248439,Amphibia,verticality,elev_range,1994,Ectotherm,0.112129565726932
elev_range,0.0150823626129884,0.0206337010533203,0.464804992057285,Amphibia,verticality,elev_range,1994,Ectotherm,0.656195282904403
(Intercept),0.0535708428307834,0.21091888197559,0.799504909983347,Amphibia,habitat_breadth,elev_range,1994,Ectotherm,0.952601594873775
bio1_mean,0.0107182829320049,0.0252555619862373,0.6712792476177,Amphibia,habitat_breadth,elev_range,1994,Ectotherm,0.869302291566016
bio12_mean,-0.0343752792005235,0.0185339838917002,0.0636367716526973,Amphibia,habitat_breadth,elev_range,1994,Ectotherm,0.132807175623021
npp,-0.00067229075378166,0.00882382367041497,0.939267611271724,Amphibia,habitat_breadth,elev_range,1994,Ectotherm,0.988770733104961
bio4_mean,0.142593928917404,0.0601025871201325,0.0176677326573114,Amphibia,habitat_breadth,elev_range,1994,Ectotherm,0.0438107614232961
hfp2020,0.00313181821968898,0.00788670369959855,0.691292955067873,Amphibia,habitat_breadth,elev_range,1994,Ectotherm,0.884854982486877
elev_range,-0.0572320521970723,0.00805480913030515,1.20037313422472e-12,Amphibia,habitat_breadth,elev_range,1994,Ectotherm,1.96744084438783e-11
(Intercept),0.0117426064507971,0.135035583438192,0.930703824317014,Amphibia,range_size,elev_range,1994,Ectotherm,0.988429290129263
bio1_mean,-0.0195756502899429,0.0413051625411407,0.635551644862729,Amphibia,range_size,elev_range,1994,Ectotherm,0.842387978989652
bio12_mean,-0.0548315337969322,0.0302933540328924,0.0702929051565917,Amphibia,range_size,elev_range,1994,Ectotherm,0.144661499783624
npp,0.00722777865346496,0.0145871748006426,0.620255275182483,Amphibia,range_size,elev_range,1994,Ectotherm,0.828651182748764
bio4_mean,0.22638683386168,0.0842642394102275,0.00721768545648094,Amphibia,range_size,elev_range,1994,Ectotherm,0.0205520535032
hfp2020,0.017120909446155,0.013019078702316,0.188488710890584,Amphibia,range_size,elev_range,1994,Ectotherm,0.329855244058522
elev_range,-0.0814451009118316,0.013328933475362,9.93823912054381e-10,Amphibia,range_size,elev_range,1994,Ectotherm,1.07717688532346e-08
(Intercept),-0.0377894155124415,0.129265617324842,0.770027240497102,Amphibia,PACE,elev_range,1994,Ectotherm,0.932357307412707
bio1_mean,0.451151447563982,0.0392699660347355,0,Amphibia,PACE,elev_range,1994,Ectotherm,0
bio12_mean,0.194422353579549,0.0288007634307452,1.47237777525788e-11,Amphibia,PACE,elev_range,1994,Ectotherm,1.90276512494865e-10
