class,term,estimate,se,p,n,p_adj
Amphibia,SIZE,-0.449334409965409,0.186379203743993,0.0159148993472144,290,0.0238723490208216
Amphibia,PACE,-0.269088765313004,0.158793246791271,0.0901540416326887,290,0.115912339242028
Amphibia,NICHE,2.34051531748247,0.322998898677906,4.28620216322329e-13,290,1.28586064896699e-12
Aves,SIZE,-0.298862928478742,0.0868015318413105,0.000575170557448846,869,0.0012941337542599
Aves,PACE,-0.0164501936215412,0.0820635087963644,0.841123290804955,869,0.841123290804955
Aves,NICHE,1.85993974906163,0.138086563598057,2.36861494533077e-41,869,2.13175345079769e-40
Mammalia,SIZE,-0.41972136912309,0.137127715701761,0.00220741886414559,501,0.00397335395546205
Mammalia,PACE,0.138979939914979,0.122475080390309,0.256475487377719,501,0.288534923299934
Mammalia,NICHE,2.51198181086544,0.234636783472582,9.55690411576505e-27,501,4.30060685209427e-26
