class,term,estimate,se,p,n,p_adj,thermal
Aves,SIZE,0.0255645172555993,0.0218039033310194,0.241264979794117,1086,0.289517975752941,Endotherm
Aves,PACE,-0.0297010862015776,0.0209423976825739,0.156412537622529,1086,0.208550050163371,Endotherm
Aves,NICHE,-0.00771795386930052,0.0265583468955631,0.771410170921554,1086,0.771410170921554,Endotherm
Mammalia,SIZE,0.283091466278064,0.0343928945013866,1.20081403164759e-15,593,7.20488418988556e-15,Endotherm
Mammalia,PACE,-0.123020696516547,0.0339734531196213,0.000318697151707081,593,0.000546337974354997,Endotherm
Mammalia,NICHE,-0.177338161679564,0.0480946180771917,0.000247658357761634,593,0.000495316715523267,Endotherm
Reptilia,SIZE,-0.307540801943076,0.0457505986343278,5.40314599473502e-11,458,2.16125839789401e-10,Ectotherm
Reptilia,PACE,0.0612797474386362,0.0397603914897846,0.123960027591877,458,0.185940041387815,Ectotherm
Reptilia,NICHE,0.210523855872832,0.050902561462643,4.21614807484474e-05,458,0.000101187553796274,Ectotherm
Amphibia,SIZE,-0.0216777845634646,0.0464733552300367,0.641127433767007,431,0.699411745927644,Ectotherm
Amphibia,PACE,-0.182291059109754,0.0423574730750746,2.08640433027294e-05,431,6.25921299081883e-05,Ectotherm
Amphibia,NICHE,-0.240393757370296,0.0274158356765474,4.37218957910624e-17,431,5.24662749492749e-16,Ectotherm
