term,estimate,se,p,n,class,source,response,thermal,p_adj
ax_thermal,-0.0736225746217344,0.0300585377483321,0.0143131556515317,3772,Aves,Range map,body_mass.mean,Endotherm,0.0397456223050797
ax_water,-0.0142248453233014,0.0231746997990429,0.539341377746417,3772,Aves,Range map,body_mass.mean,Endotherm,0.680669509871619
ax_productivity,0.00432308684161745,0.0138944419943143,0.755695826234769,3772,Aves,Range map,body_mass.mean,Endotherm,0.869567800050967
ax_structure,-0.0666277002993999,0.00540646403109098,0,3772,Aves,Range map,body_mass.mean,Endotherm,0
ax_human,0.00319483325534699,0.00741517252806255,0.66657683591324,3772,Aves,Range map,body_mass.mean,Endotherm,0.785859006550346
ax_thermal,-0.371060542492962,0.049406785657549,5.90638649100583e-14,804,Aves,"Range map, same cells",body_mass.mean,Endotherm,1.16737991822233e-12
ax_water,-0.0840832091023021,0.0488190959935957,0.0850074736198627,804,Aves,"Range map, same cells",body_mass.mean,Endotherm,0.161611181621098
ax_productivity,-0.0179554382040849,0.0223850766264638,0.422485600034629,804,Aves,"Range map, same cells",body_mass.mean,Endotherm,0.55451235004545
ax_structure,-0.135025448045957,0.0117991201050738,0,804,Aves,"Range map, same cells",body_mass.mean,Endotherm,0
ax_human,-0.00264686182344652,0.0151002340857322,0.860854797814493,804,Aves,"Range map, same cells",body_mass.mean,Endotherm,0.925491041364588
ax_thermal,-0.228777396510789,0.0617448221965627,0.000211217502886774,806,Aves,Occurrence,body_mass.mean,Endotherm,0.000933803696973104
ax_water,-0.00916178096959554,0.0616979161505111,0.881952785079918,806,Aves,Occurrence,body_mass.mean,Endotherm,0.930848624305282
ax_productivity,-0.433039183062015,0.0494373068391277,0,806,Aves,Occurrence,body_mass.mean,Endotherm,0
ax_structure,-0.316867909269576,0.0346325996768085,0,806,Aves,Occurrence,body_mass.mean,Endotherm,0
ax_human,0.0447756931809794,0.0378920497979365,0.237338817100138,806,Aves,Occurrence,body_mass.mean,Endotherm,0.365363246536294
ax_thermal,-0.229587968709574,0.0617914123196861,0.000202776613427602,806,Aves,Occurrence + coverage,body_mass.mean,Endotherm,0.000908439228155658
ax_water,-0.00999826523275491,0.0617381197499106,0.871348075947992,806,Aves,Occurrence + coverage,body_mass.mean,Endotherm,0.927448982610166
ax_productivity,-0.431993515906122,0.0495047348680386,0,806,Aves,Occurrence + coverage,body_mass.mean,Endotherm,0
ax_structure,-0.317027889627306,0.0346334494517334,0,806,Aves,Occurrence + coverage,body_mass.mean,Endotherm,0
ax_human,0.0430567045748165,0.0381146351459106,0.258618126484168,806,Aves,Occurrence + coverage,body_mass.mean,Endotherm,0.389666773536683
coverage,0.00982256974066762,0.0237929782783124,0.679727643417269,806,Aves,Occurrence + coverage,body_mass.mean,Endotherm,0.79577870448851
ax_thermal,-0.0346907130200127,0.0247318789341739,0.160714683451984,3772,Aves,Range map,habitat_breadth.mean,Endotherm,0.272727947676094
ax_water,-0.0424853245736385,0.0190149919521511,0.0254628975342415,3772,Aves,Range map,habitat_breadth.mean,Endotherm,0.0619966200833705
ax_productivity,-0.0233037053534509,0.0113496978781485,0.0400488653549105,3772,Aves,Range map,habitat_breadth.mean,Endotherm,0.0891153560215227
ax_structure,-0.0610791570441562,0.00441359983301554,0,3772,Aves,Range map,habitat_breadth.mean,Endotherm,0
ax_human,0.00899701023032621,0.00605415247080203,0.13725554481683,3772,Aves,Range map,habitat_breadth.mean,Endotherm,0.240197203429453
ax_thermal,-0.329337191169039,0.0462585725650096,1.08335562742923e-12,804,Aves,"Range map, same cells",habitat_breadth.mean,Endotherm,2.02226383786789e-11
ax_water,-0.226746209681282,0.0457225523673462,7.07926079535071e-07,804,Aves,"Range map, same cells",habitat_breadth.mean,Endotherm,4.91309151740893e-06
