term,estimate,se,p,n,class,source,response,thermal,p_adj
ax_productivity,-0.0557304681014314,0.0208404177385863,0.00749182363813428,804,Aves,"Range map, same cells",habitat_breadth.mean,Endotherm,0.0224754709144028
ax_structure,-0.127488446582074,0.0109717206436449,0,804,Aves,"Range map, same cells",habitat_breadth.mean,Endotherm,0
ax_human,0.0195463822954689,0.0140443890946193,0.163995877356908,804,Aves,"Range map, same cells",habitat_breadth.mean,Endotherm,0.274329861123373
ax_thermal,-0.00242683347081936,0.0853306275868838,0.977310937357958,806,Aves,Occurrence,habitat_breadth.mean,Endotherm,0.986115540397219
ax_water,-0.149243324583836,0.0844008278328816,0.0770160286229249,806,Aves,Occurrence,habitat_breadth.mean,Endotherm,0.148720606995993
ax_productivity,-0.316809576989463,0.0574075847236409,3.41708294993026e-08,806,Aves,Occurrence,habitat_breadth.mean,Endotherm,3.10308073290964e-07
ax_structure,-0.36437704623171,0.0349671888265456,0,806,Aves,Occurrence,habitat_breadth.mean,Endotherm,0
ax_human,-0.0117099440546489,0.0414137875271248,0.777364863647256,806,Aves,Occurrence,habitat_breadth.mean,Endotherm,0.876491926796906
ax_thermal,0.00103969149837366,0.0839857827970144,0.990122940105179,806,Aves,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.990122940105179
ax_water,-0.13964962628731,0.0830819544306785,0.0927889596987577,806,Aves,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.17224911855681
ax_productivity,-0.322296671165184,0.0567023608505459,1.31574138251267e-08,806,Aves,Occurrence + coverage,habitat_breadth.mean,Endotherm,1.22802529034516e-07
ax_structure,-0.366120495032406,0.0346051653802136,0,806,Aves,Occurrence + coverage,habitat_breadth.mean,Endotherm,0
ax_human,0.00662117884557397,0.0411741319104077,0.872243686026227,806,Aves,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.927448982610166
coverage,-0.0872161134022934,0.0217861757987832,6.24708805168073e-05,806,Aves,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.00031328680378578
ax_thermal,-0.0445723623633677,0.0222334878009926,0.0449908497428957,3772,Aves,Range map,range_size.mean,Endotherm,0.0969033686770061
ax_water,-0.0905725267810289,0.017095541923005,1.17065005689199e-07,3772,Aves,Range map,range_size.mean,Endotherm,9.26699034532386e-07
ax_productivity,-0.0140405486922406,0.0102054875672235,0.16888845015063,3772,Aves,Range map,range_size.mean,Endotherm,0.278169212012802
ax_structure,-0.0636552119464196,0.00396871210451316,0,3772,Aves,Range map,range_size.mean,Endotherm,0
ax_human,0.0178484236895437,0.00544388865606348,0.00104317260327003,3772,Aves,Range map,range_size.mean,Endotherm,0.00432723450245344
ax_thermal,-0.28994469898086,0.0414249147582188,2.57283083726634e-12,804,Aves,"Range map, same cells",range_size.mean,Endotherm,4.54984821748152e-11
ax_water,-0.240156340052361,0.040944353929065,4.47963754979241e-09,804,Aves,"Range map, same cells",range_size.mean,Endotherm,4.70361942728204e-08
ax_productivity,-0.0394486260798798,0.0186674768132659,0.034581297311024,804,Aves,"Range map, same cells",range_size.mean,Endotherm,0.0795843554555073
ax_structure,-0.123943930152096,0.00982828563465228,0,804,Aves,"Range map, same cells",range_size.mean,Endotherm,0
ax_human,0.0171160128360438,0.0125806293109859,0.17367007733297,804,Aves,"Range map, same cells",range_size.mean,Endotherm,0.284649492604283
ax_thermal,-0.211126397624353,0.0763092410533398,0.00566231505672321,806,Aves,Occurrence,range_size.mean,Endotherm,0.0181194081815143
ax_water,-0.290655032970819,0.0753278434105031,0.000114069274896211,806,Aves,Occurrence,range_size.mean,Endotherm,0.000563636417134221
ax_productivity,-0.118960060637281,0.0497393699081873,0.0167720049591462,806,Aves,Occurrence,range_size.mean,Endotherm,0.0454467231151059
ax_structure,-0.34718192110083,0.0297334798398091,0,806,Aves,Occurrence,range_size.mean,Endotherm,0
ax_human,0.0788702441626562,0.0355950271558676,0.0267075451772101,806,Aves,Occurrence,range_size.mean,Endotherm,0.0636435119116496
ax_thermal,-0.205052647024161,0.0739163836590737,0.00553518811623865,806,Aves,Occurrence + coverage,range_size.mean,Endotherm,0.0178829154524633
ax_water,-0.279225557184642,0.0729772293503056,0.000130135977148171,806,Aves,Occurrence + coverage,range_size.mean,Endotherm,0.000633705627851965
ax_productivity,-0.124979607609713,0.0483646307710843,0.00976301733613893,806,Aves,Occurrence + coverage,range_size.mean,Endotherm,0.0282790846977817
ax_structure,-0.34966581392815,0.0289710302706328,0,806,Aves,Occurrence + coverage,range_size.mean,Endotherm,0
ax_human,0.104107238000512,0.0348428636102548,0.00280894963504186,806,Aves,Occurrence + coverage,range_size.mean,Endotherm,0.0100523635392973
coverage,-0.117284364725483,0.0180524572923173,8.20112866506406e-11,806,Aves,Occurrence + coverage,range_size.mean,Endotherm,1.14815801310897e-09
ax_thermal,-0.0200480915004166,0.0390050653790259,0.607261169967428,3772,Aves,Range map,habitat_breadth.var,Endotherm,0.739715668155202
ax_water,0.0339331891046151,0.030223816551095,0.261552132840821,3772,Aves,Range map,habitat_breadth.var,Endotherm,0.392328199261232
ax_productivity,-0.0334073105509069,0.0182499292859954,0.0671685354344582,3772,Aves,Range map,habitat_breadth.var,Endotherm,0.135141484466934
ax_structure,-0.0208794289712213,0.00711033237568997,0.00331948159919326,3772,Aves,Range map,habitat_breadth.var,Endotherm,0.011740482287673
ax_human,0.000440626630684041,0.00974812853512879,0.963946976758955,3772,Aves,Range map,habitat_breadth.var,Endotherm,0.978508109338395
ax_thermal,-0.177462139934388,0.0631378962569693,0.00494327478576229,804,Aves,"Range map, same cells",habitat_breadth.var,Endotherm,0.0162837287060405
ax_water,-0.0126168288777522,0.0623651055705104,0.839677586971644,804,Aves,"Range map, same cells",habitat_breadth.var,Endotherm,0.914708038748023
ax_productivity,-0.0836185037063366,0.0287805044675156,0.00366799260334139,804,Aves,"Range map, same cells",habitat_breadth.var,Endotherm,0.0126569927482407
ax_structure,-0.0915653297982966,0.0151891720924781,1.65663327500454e-09,804,Aves,"Range map, same cells",habitat_breadth.var,Endotherm,1.85542926800508e-08
ax_human,-0.0203491713787388,0.0194329516601485,0.295031444689959,804,Aves,"Range map, same cells",habitat_breadth.var,Endotherm,0.423634894939428
ax_thermal,-0.0411017881135092,0.0862264025663224,0.633595073668587,806,Aves,Occurrence,habitat_breadth.var,Endotherm,0.760666120250215
ax_water,-0.086437390050848,0.086092725208845,0.315376967908066,806,Aves,Occurrence,habitat_breadth.var,Endotherm,0.448095031391009
ax_productivity,0.0051473166838673,0.0676750926464966,0.939371961229747,806,Aves,Occurrence,habitat_breadth.var,Endotherm,0.971166089148292
ax_structure,-0.230396226106156,0.0464882844877011,7.19569210883009e-07,806,Aves,Occurrence,habitat_breadth.var,Endotherm,4.91309151740893e-06
ax_human,0.117738353217106,0.051426933983001,0.022054394562965,806,Aves,Occurrence,habitat_breadth.var,Endotherm,0.0561384588875472
ax_thermal,-0.0397843816284537,0.0862567032437141,0.644631917090028,806,Aves,Occurrence + coverage,habitat_breadth.var,Endotherm,0.765358035838337
ax_water,-0.0852500224223652,0.0861129478898758,0.322184313233547,806,Aves,Occurrence + coverage,habitat_breadth.var,Endotherm,0.454848442212066
ax_productivity,0.00363879499072575,0.0677380791564755,0.957159361049973,806,Aves,Occurrence + coverage,habitat_breadth.var,Endotherm,0.978508109338395
ax_structure,-0.230225355541322,0.0464828387120672,7.31114809138234e-07,806,Aves,Occurrence + coverage,habitat_breadth.var,Endotherm,4.91309151740893e-06
ax_human,0.120383441683229,0.0517179720606276,0.0199285342594453,806,Aves,Occurrence + coverage,habitat_breadth.var,Endotherm,0.0519068799315785
coverage,-0.0150037931375097,0.0314775718988642,0.633611180585766,806,Aves,Occurrence + coverage,habitat_breadth.var,Endotherm,0.760666120250215
ax_thermal,-0.15097079133434,0.0288580427542812,1.68141905732e-07,3782,Mammalia,Range map,body_mass.mean,Endotherm,1.28399273468073e-06
ax_water,-0.0967530483704351,0.0221650617251831,1.27055767420448e-05,3782,Mammalia,Range map,body_mass.mean,Endotherm,6.7763075957572e-05
ax_productivity,-0.000191582018841079,0.0132452326883767,0.988459621009114,3782,Mammalia,Range map,body_mass.mean,Endotherm,0.990122940105179
ax_structure,0.0298444983865522,0.00521438121945565,1.04353043983707e-08,3782,Mammalia,Range map,body_mass.mean,Endotherm,1.00178922224359e-07
ax_human,-0.00809092510610763,0.0071182553722855,0.255686971115752,3782,Mammalia,Range map,body_mass.mean,Endotherm,0.38698568601303
ax_thermal,-0.195847857084124,0.113756461643078,0.0851344617468286,170,Mammalia,"Range map, same cells",body_mass.mean,Endotherm,0.161611181621098
ax_water,-0.236179357461373,0.0980513597157829,0.0160080886731369,170,Mammalia,"Range map, same cells",body_mass.mean,Endotherm,0.0437693432802678
ax_productivity,-0.0641092623263007,0.0672958995873719,0.340768763367492,170,Mammalia,"Range map, same cells",body_mass.mean,Endotherm,0.477076268714489
ax_structure,0.0484517072768011,0.0444225485143863,0.275404577572452,170,Mammalia,"Range map, same cells",body_mass.mean,Endotherm,0.405859377475193
ax_human,-0.137218669313989,0.0508112554169852,0.00692235649488993,170,Mammalia,"Range map, same cells",body_mass.mean,Endotherm,0.0209541602007479
ax_thermal,0.169961095741225,0.172806285958178,0.325344012368499,170,Mammalia,Occurrence,body_mass.mean,Endotherm,0.457387398141488
ax_water,-0.079599187078866,0.168486167025649,0.636614527970888,170,Mammalia,Occurrence,body_mass.mean,Endotherm,0.760666120250215
ax_productivity,-0.0799379535844479,0.128301641045584,0.533253631334273,170,Mammalia,Occurrence,body_mass.mean,Endotherm,0.678686439879984
ax_structure,-0.0875015306260264,0.0984312942535509,0.374024319300151,170,Mammalia,Occurrence,body_mass.mean,Endotherm,0.504707515200203
ax_human,0.0953829816047006,0.106535572602508,0.370618295567861,170,Mammalia,Occurrence,body_mass.mean,Endotherm,0.503696779017658
ax_thermal,0.141078858339141,0.168824325713327,0.403349129643021,170,Mammalia,Occurrence + coverage,body_mass.mean,Endotherm,0.535673152411285
ax_water,-0.0290373515129134,0.164924714555421,0.860243441081691,170,Mammalia,Occurrence + coverage,body_mass.mean,Endotherm,0.925491041364588
ax_productivity,-0.112129513750453,0.125246069046523,0.370640786754692,170,Mammalia,Occurrence + coverage,body_mass.mean,Endotherm,0.503696779017658
ax_structure,-0.0332701297730781,0.0970114095171653,0.731635556994709,170,Mammalia,Occurrence + coverage,body_mass.mean,Endotherm,0.844775076117602
ax_human,0.1228062000487,0.103884942014003,0.23715147381573,170,Mammalia,Occurrence + coverage,body_mass.mean,Endotherm,0.365363246536294
coverage,-0.18916773062046,0.0585206845740089,0.00122714941392599,170,Mammalia,Occurrence + coverage,body_mass.mean,Endotherm,0.00496773738649556
ax_thermal,-0.0889166901703014,0.0475654745384131,0.0615736381238181,3782,Mammalia,Range map,habitat_breadth.mean,Endotherm,0.126150868351237
ax_water,-0.0311886592680281,0.0368389427043512,0.397205848628729,3782,Mammalia,Range map,habitat_breadth.mean,Endotherm,0.529607798171638
ax_productivity,-0.0356014013863533,0.0222558917707365,0.109678602308329,3782,Mammalia,Range map,habitat_breadth.mean,Endotherm,0.199200056084316
ax_structure,-0.00262014363152946,0.0087804349535043,0.765392514198278,3782,Mammalia,Range map,habitat_breadth.mean,Endotherm,0.874734301940889
ax_human,0.00164212275947368,0.0119773971852216,0.890950326671711,3782,Mammalia,Range map,habitat_breadth.mean,Endotherm,0.935497843005297
ax_thermal,0.203176345926486,0.138172129809166,0.141437689576466,170,Mammalia,"Range map, same cells",habitat_breadth.mean,Endotherm,0.246233490661619
ax_water,-0.341307701400852,0.117555431216078,0.00369162288490355,170,Mammalia,"Range map, same cells",habitat_breadth.mean,Endotherm,0.0126569927482407
ax_productivity,-0.113025563126223,0.0803113683044151,0.159325995530351,170,Mammalia,"Range map, same cells",habitat_breadth.mean,Endotherm,0.271743829940091
ax_structure,-0.0705635238284727,0.0525464252404598,0.179310954903347,170,Mammalia,"Range map, same cells",habitat_breadth.mean,Endotherm,0.291055463031519
ax_human,-0.0171259123967149,0.0603324405145111,0.776518359517623,170,Mammalia,"Range map, same cells",habitat_breadth.mean,Endotherm,0.876491926796906
ax_thermal,-0.124474048079609,0.142490653716507,0.382358251743785,170,Mammalia,Occurrence,habitat_breadth.mean,Endotherm,0.513889490343648
ax_water,0.15608581291074,0.142701858740713,0.274047254354784,170,Mammalia,Occurrence,habitat_breadth.mean,Endotherm,0.405638226710165
ax_productivity,0.0244042981864306,0.114045656319416,0.830557124264226,170,Mammalia,Occurrence,habitat_breadth.mean,Endotherm,0.914708038748023
ax_structure,-0.161561830514872,0.0953928148226463,0.0903322300552509,170,Mammalia,Occurrence,habitat_breadth.mean,Endotherm,0.169562174852315
ax_human,0.239759129374767,0.100514249872251,0.0170640498127388,170,Mammalia,Occurrence,habitat_breadth.mean,Endotherm,0.0455314056141554
ax_thermal,-0.149796998800941,0.140842702423077,0.28752055966726,170,Mammalia,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.418211723152378
ax_water,0.186500593257187,0.141190115348711,0.186528640002208,170,Mammalia,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.29987379445331
ax_productivity,0.00886724630561276,0.112512566117507,0.937182824045078,170,Mammalia,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.971166089148292
ax_structure,-0.123455174071986,0.0951961800924941,0.194682774429032,170,Mammalia,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.308553831170541
ax_human,0.265508154874925,0.0995201070829316,0.00763304848485191,170,Mammalia,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.0224974060606162
coverage,-0.146168076789983,0.0612837238522727,0.0170742771053083,170,Mammalia,Occurrence + coverage,habitat_breadth.mean,Endotherm,0.0455314056141554
ax_thermal,0.0302130267546512,0.0332682126075111,0.363791045614141,3782,Mammalia,Range map,range_size.mean,Endotherm,0.498913433985108
ax_water,-0.116740027788676,0.0255568005035442,4.92715973332558e-06,3782,Mammalia,Range map,range_size.mean,Endotherm,2.85435460413344e-05
ax_productivity,-0.0241323042172636,0.0152757839989001,0.114158364546852,3782,Mammalia,Range map,range_size.mean,Endotherm,0.204027715360332
ax_structure,-0.0407209974987754,0.00601400622444877,1.27871047084227e-11,3782,Mammalia,Range map,range_size.mean,Endotherm,1.95293962819547e-10
ax_human,0.0209564267679935,0.00820974686382703,0.0106913727354256,3782,Mammalia,Range map,range_size.mean,Endotherm,0.0304432308398561
ax_thermal,-0.0644429358193043,0.104767597725515,0.538486246187083,170,Mammalia,"Range map, same cells",range_size.mean,Endotherm,0.680669509871619
ax_water,-0.398789021436171,0.0898526836629051,9.06916110809952e-06,170,Mammalia,"Range map, same cells",range_size.mean,Endotherm,4.99547234806793e-05
ax_productivity,-0.00242260557772603,0.0615521689126925,0.968604507682294,170,Mammalia,"Range map, same cells",range_size.mean,Endotherm,0.980274441509792
ax_structure,-0.181506267512423,0.0404891009714232,7.36552506319654e-06,170,Mammalia,"Range map, same cells",range_size.mean,Endotherm,4.12469403539006e-05
ax_human,0.00686564477066292,0.0463807783027898,0.882320825360891,170,Mammalia,"Range map, same cells",range_size.mean,Endotherm,0.930848624305282
ax_thermal,-0.421278462399664,0.104382556967673,5.43913824666564e-05,170,Mammalia,Occurrence,range_size.mean,Endotherm,0.000276901583466615
ax_water,0.211551192839508,0.105409420596866,0.0447552334800128,170,Mammalia,Occurrence,range_size.mean,Endotherm,0.0969033686770061
ax_productivity,0.103797785703521,0.0879901546755171,0.238138544617406,170,Mammalia,Occurrence,range_size.mean,Endotherm,0.365363246536294
ax_structure,-0.169748313447168,0.0819314261118166,0.0382809256743444,170,Mammalia,Occurrence,range_size.mean,Endotherm,0.0863247719904679
ax_human,0.376696377116329,0.0839906133973951,7.29201395688328e-06,170,Mammalia,Occurrence,range_size.mean,Endotherm,4.12469403539006e-05
ax_thermal,-0.433000292428272,0.106755633377844,4.99213728195613e-05,170,Mammalia,Occurrence + coverage,range_size.mean,Endotherm,0.000258055096421117
ax_water,0.226118329737109,0.107693988143029,0.035760746516341,170,Mammalia,Occurrence + coverage,range_size.mean,Endotherm,0.081738849180208
ax_productivity,0.0996470363451318,0.0891870245429103,0.263873869002736,170,Mammalia,Occurrence + coverage,range_size.mean,Endotherm,0.39350640109047
ax_structure,-0.130959828444989,0.082848336221442,0.113942607835577,170,Mammalia,Occurrence + coverage,range_size.mean,Endotherm,0.204027715360332
ax_human,0.400011384749219,0.0849190234989165,2.47105165596118e-06,170,Mammalia,Occurrence + coverage,range_size.mean,Endotherm,1.48263099357671e-05
coverage,-0.134864547011496,0.0583547306028587,0.0208264527659201,170,Mammalia,Occurrence + coverage,range_size.mean,Endotherm,0.0538283702257627
ax_thermal,-0.0367057175057391,0.0478385741674778,0.44291336311122,3782,Mammalia,Range map,habitat_breadth.var,Endotherm,0.578974282519564
ax_water,-0.0634657500787108,0.037245431732071,0.0883834226641755,3782,Mammalia,Range map,habitat_breadth.var,Endotherm,0.166836123680691
ax_productivity,0.0138459599066024,0.0226437659149675,0.540889164094412,3782,Mammalia,Range map,habitat_breadth.var,Endotherm,0.680669509871619
ax_structure,-0.0285625741331164,0.00894722949054334,0.00141126442201056,3782,Mammalia,Range map,habitat_breadth.var,Endotherm,0.00557864524465351
ax_human,0.00792525313009431,0.0121972737116459,0.515849772993698,3782,Mammalia,Range map,habitat_breadth.var,Endotherm,0.661547800480467
ax_thermal,0.317609541340893,0.158225342720883,0.0447151662183174,170,Mammalia,"Range map, same cells",habitat_breadth.var,Endotherm,0.0969033686770061
ax_water,-0.242414978383643,0.135646042423819,0.0739190211997878,170,Mammalia,"Range map, same cells",habitat_breadth.var,Endotherm,0.14356526660768
ax_productivity,-0.0829816080586683,0.0929087994706525,0.371776194036843,170,Mammalia,"Range map, same cells",habitat_breadth.var,Endotherm,0.503696779017658
ax_structure,0.0352910332813531,0.0610988248563674,0.563530315967765,170,Mammalia,"Range map, same cells",habitat_breadth.var,Endotherm,0.706515620019287
ax_human,0.0131862526362896,0.0699976522920271,0.850577714023002,170,Mammalia,"Range map, same cells",habitat_breadth.var,Endotherm,0.921916490037834
ax_thermal,-0.157720876357292,0.0875843309618396,0.0717361854603302,170,Mammalia,Occurrence,habitat_breadth.var,Endotherm,0.140135804155064
ax_water,0.0179814512889212,0.0871502260621365,0.836535430176719,170,Mammalia,Occurrence,habitat_breadth.var,Endotherm,0.914708038748023
ax_productivity,0.103958268561644,0.0750451626851845,0.165968065901957,170,Mammalia,Occurrence,habitat_breadth.var,Endotherm,0.274705764251516
ax_structure,-0.109436699968347,0.0781882010265816,0.161615914074881,170,Mammalia,Occurrence,habitat_breadth.var,Endotherm,0.272879131302312
ax_human,0.47106999961871,0.0784665561633175,1.9316899191324e-09,170,Mammalia,Occurrence,habitat_breadth.var,Endotherm,2.09370262202737e-08
ax_thermal,-0.174379654491774,0.0891935438341634,0.0505747653017197,170,Mammalia,Occurrence + coverage,habitat_breadth.var,Endotherm,0.106207007133611
ax_water,0.0255447468652763,0.088475794275509,0.772795521966403,170,Mammalia,Occurrence + coverage,habitat_breadth.var,Endotherm,0.876491926796906
ax_productivity,0.107706905792938,0.0759586875160448,0.156200424395947,170,Mammalia,Occurrence + coverage,habitat_breadth.var,Endotherm,0.269145346651477
ax_structure,-0.0864091637768856,0.0794837116649488,0.276979159362567,170,Mammalia,Occurrence + coverage,habitat_breadth.var,Endotherm,0.406397369195732
ax_human,0.495201850589604,0.0802529561328849,6.80690837029374e-10,170,Mammalia,Occurrence + coverage,habitat_breadth.var,Endotherm,8.16829004435249e-09
coverage,-0.12538987951102,0.0669136742818871,0.0609434981376196,170,Mammalia,Occurrence + coverage,habitat_breadth.var,Endotherm,0.126029583999298
ax_thermal,0.307480942676223,0.0557781083679412,3.53623692550542e-08,3196,Reptilia,Range map,body_mass.mean,Ectotherm,3.12677791307848e-07
ax_water,0.300194941619155,0.0436194505490125,5.89617243917928e-12,3196,Reptilia,Range map,body_mass.mean,Ectotherm,9.90556969782119e-11
ax_productivity,-0.17864396172193,0.0263589945386763,1.22406529357022e-11,3196,Reptilia,Range map,body_mass.mean,Ectotherm,1.95293962819547e-10
ax_structure,-0.0135005044147154,0.0114813292639881,0.239648437812336,3196,Reptilia,Range map,body_mass.mean,Ectotherm,0.366008523204296
ax_human,-0.000873609083788323,0.0149093194539243,0.953274826269373,3196,Reptilia,Range map,body_mass.mean,Ectotherm,0.978508109338395
ax_thermal,0.551341039498085,0.172369728539944,0.00138098780883134,163,Reptilia,"Range map, same cells",body_mass.mean,Ectotherm,0.00552395123532534
ax_water,0.349452803771551,0.156612001861952,0.0256593853800857,163,Reptilia,"Range map, same cells",body_mass.mean,Ectotherm,0.0620255646597756
ax_productivity,-0.0708934409912371,0.103358080509397,0.492775355223871,163,Reptilia,"Range map, same cells",body_mass.mean,Ectotherm,0.634814287851401
ax_structure,-0.00622421556063516,0.0622207518125113,0.92031701534239,163,Reptilia,"Range map, same cells",body_mass.mean,Ectotherm,0.957357638250907
ax_human,0.1008504197664,0.0803141457954467,0.209224999065355,163,Reptilia,"Range map, same cells",body_mass.mean,Ectotherm,0.326974882260276
ax_thermal,-0.139441956279344,0.12501542469918,0.264679900733471,163,Reptilia,Occurrence,body_mass.mean,Ectotherm,0.39350640109047
ax_water,0.266213354066242,0.121412629741674,0.0283338223394933,163,Reptilia,Occurrence,body_mass.mean,Ectotherm,0.0670434106061251
ax_productivity,0.388193889437108,0.126844101683421,0.00221040394053285,163,Reptilia,Occurrence,body_mass.mean,Ectotherm,0.00816149147273666
ax_structure,0.0147673731097529,0.0889184044538304,0.868095723509706,163,Reptilia,Occurrence,body_mass.mean,Ectotherm,0.927448982610166
ax_human,0.113120037617009,0.105607049071288,0.284106046214544,163,Reptilia,Occurrence,body_mass.mean,Ectotherm,0.415041876209074
ax_thermal,-0.146742203054502,0.119089342242867,0.217873393795479,163,Reptilia,Occurrence + coverage,body_mass.mean,Ectotherm,0.3389141681263
ax_water,0.247326326662057,0.116318622835604,0.0334796909909225,163,Reptilia,Occurrence + coverage,body_mass.mean,Ectotherm,0.0775805253306894
ax_productivity,0.391767539647959,0.124396806190177,0.00163641029695993,163,Reptilia,Occurrence + coverage,body_mass.mean,Ectotherm,0.00631992942274181
ax_structure,0.0225629645673238,0.0878604140979275,0.797329565524949,163,Reptilia,Occurrence + coverage,body_mass.mean,Ectotherm,0.893009113387943
ax_human,0.130839560195106,0.103805358855535,0.207513688582634,163,Reptilia,Occurrence + coverage,body_mass.mean,Ectotherm,0.325815884877406
coverage,-0.067727131460486,0.0713279836766247,0.342357741488828,163,Reptilia,Occurrence + coverage,body_mass.mean,Ectotherm,0.477312037926333
ax_thermal,-0.258213539933173,0.0334937942317141,1.26565424807268e-14,3196,Reptilia,Range map,habitat_breadth.mean,Ectotherm,2.65787392095263e-13
ax_water,0.00502355062750655,0.0250735303344205,0.841204714205771,3196,Reptilia,Range map,habitat_breadth.mean,Ectotherm,0.914708038748023
ax_productivity,0.00346968014927124,0.0145623223144345,0.811676182220495,3196,Reptilia,Range map,habitat_breadth.mean,Ectotherm,0.902909188886423
ax_structure,-0.00642095846755489,0.00626458490125772,0.305381344259882,3196,Reptilia,Range map,habitat_breadth.mean,Ectotherm,0.436630347537534
ax_human,0.0150650844775384,0.00819466168572991,0.0660031538925121,3196,Reptilia,Range map,habitat_breadth.mean,Ectotherm,0.134032067460377
ax_thermal,-0.696161566852956,0.131459196513536,1.18595412157418e-07,163,Reptilia,"Range map, same cells",habitat_breadth.mean,Ectotherm,9.26699034532386e-07
ax_water,-0.240003504736363,0.122481354150806,0.0500530264437977,163,Reptilia,"Range map, same cells",habitat_breadth.mean,Ectotherm,0.105772433239724
ax_productivity,-0.0462448523475213,0.0845250528562394,0.584300312359749,163,Reptilia,"Range map, same cells",habitat_breadth.mean,Ectotherm,0.721782738797336
ax_structure,-0.295818224621921,0.0515325291742751,9.44435063487958e-09,163,Reptilia,"Range map, same cells",habitat_breadth.mean,Ectotherm,9.33324062741041e-08
