response,predictor,quantity,n_clades,n_endo,n_ecto,endo_mean,ecto_mean,contrast,se,t,p,model,p_adj
SES.FDis,ax_thermal,strength,33,21,12,0.1561,0.2742,0.1176,0.0869,1.354,0.186696716102394,lmer (1|class/order),0.497602469516048
SES.FDis,ax_thermal,direction,33,21,12,-0.0192,0.0757,0.0949,0.1141,0.832,0.412255966975485,lmer (1|class/order),0.669972482114013
SES.FDis,ax_water,strength,33,21,12,0.16,0.2111,0.0721,0.0981,0.736,0.468121378128242,lmer (1|class/order),0.669972482114013
SES.FDis,ax_water,direction,33,21,12,0.0121,0.0306,0.0932,0.1745,0.534,0.597345652009631,lmer (1|class/order),0.689773033138525
SES.FDis,ax_productivity,strength,33,21,12,0.0494,0.1286,0.0791,0.0269,2.946,0.00641930909309132,lmer (1|class/order),0.128386181861826
SES.FDis,ax_productivity,direction,33,21,12,-0.0183,0.0323,0.0506,0.0412,1.23,0.228839763192561,lmer (1|class/order),0.528091761213601
SES.FDis,ax_structure,strength,33,21,12,0.0382,0.0541,0.0148,0.0186,0.794,0.433870205167856,lmer (1|class/order),0.669972482114013
SES.FDis,ax_structure,direction,33,21,12,-0.0087,-0.0023,0.0064,0.0199,0.321,0.750607141175001,lmer (1|class/order),0.806721539107249
SES.FDis,ax_human,strength,33,21,12,0.0376,0.0579,0.0192,0.0287,0.667,0.510475283203427,lmer (1|class/order),0.669972482114013
SES.FDis,ax_human,direction,33,21,12,0.0195,-0.0208,-0.0403,0.0217,-1.854,0.0742817052350929,lmer (1|class/order),0.396506664921457
SES.RaoQ,ax_thermal,strength,33,21,12,0.1644,0.2983,0.1339,0.0999,1.341,0.190747613314485,lmer (1|class/order),0.497602469516048
SES.RaoQ,ax_thermal,direction,33,21,12,-0.0216,0.0783,0.0999,0.1286,0.777,0.443733917986982,lmer (1|class/order),0.669972482114013
SES.RaoQ,ax_water,strength,33,21,12,0.1667,0.2211,0.0748,0.1299,0.576,0.569540787090737,lmer (1|class/order),0.683448944508885
SES.RaoQ,ax_water,direction,33,21,12,0.0053,0.0432,0.1297,0.2109,0.615,0.543558154880459,lmer (1|class/order),0.669972482114013
SES.RaoQ,ax_productivity,strength,33,21,12,0.0594,0.1346,0.0752,0.0272,2.76,0.0100665356829186,lmer (1|class/order),0.150998035243779
SES.RaoQ,ax_productivity,direction,33,21,12,-0.0148,0.0188,0.0336,0.044,0.764,0.451546373046637,lmer (1|class/order),0.669972482114013
SES.RaoQ,ax_structure,strength,33,21,12,0.0368,0.0562,0.0168,0.0179,0.936,0.357503631556883,lmer (1|class/order),0.669972482114013
SES.RaoQ,ax_structure,direction,33,21,12,-0.0087,-0.002,0.0067,0.0211,0.318,0.752940103166766,lmer (1|class/order),0.806721539107249
SES.RaoQ,ax_human,strength,33,21,12,0.0356,0.0607,0.0218,0.0318,0.685,0.498981174865814,lmer (1|class/order),0.669972482114013
SES.RaoQ,ax_human,direction,33,21,12,0.02,-0.0201,-0.0401,0.0225,-1.78,0.085909777399649,lmer (1|class/order),0.396506664921457
SES.body_mass.mean,ax_thermal,strength,33,21,12,0.186,0.469,0.283,0.0749,3.777,0.000762467338605226,lmer (1|class/order),0.0457480403163136
SES.body_mass.mean,ax_thermal,direction,33,21,12,-0.092,0.022,0.1068,0.151,0.708,0.485052845619317,lmer (1|class/order),0.669972482114013
SES.body_mass.mean,ax_water,strength,33,21,12,0.1415,0.2323,0.1031,0.1049,0.983,0.334117401624349,lmer (1|class/order),0.668234803248698
SES.body_mass.mean,ax_water,direction,33,21,12,-0.0149,0.1085,0.1414,0.1892,0.747,0.461043404529961,lmer (1|class/order),0.669972482114013
SES.body_mass.mean,ax_productivity,strength,33,21,12,0.0582,0.1069,0.0487,0.0333,1.462,0.15486757118122,lmer (1|class/order),0.497602469516048
SES.body_mass.mean,ax_productivity,direction,33,21,12,-0.0113,-0.0122,-9e-04,0.0444,-0.019,0.984627654547795,lmer (1|class/order),0.984627654547795
SES.body_mass.mean,ax_structure,strength,33,21,12,0.042,0.0687,0.0268,0.0171,1.562,0.129431141953221,lmer (1|class/order),0.497602469516048
SES.body_mass.mean,ax_structure,direction,33,21,12,-0.0168,-0.0322,-0.0154,0.0247,-0.622,0.538740671725305,lmer (1|class/order),0.669972482114013
SES.body_mass.mean,ax_human,strength,33,21,12,0.0463,0.078,0.0317,0.0208,1.523,0.139050155252113,lmer (1|class/order),0.497602469516048
SES.body_mass.mean,ax_human,direction,33,21,12,-0.0188,0.0357,0.0614,0.0476,1.29,0.20774473619709,lmer (1|class/order),0.498587366873017
SES.body_mass.var,ax_thermal,strength,33,21,12,0.229,0.4289,0.1999,0.1212,1.65,0.11017800334847,lmer (1|class/order),0.472191442922015
SES.body_mass.var,ax_thermal,direction,33,21,12,-0.0523,0.0964,0.2146,0.4022,0.534,0.597803295386722,lmer (1|class/order),0.689773033138525
SES.body_mass.var,ax_water,strength,33,21,12,0.1642,0.2364,0.0814,0.1068,0.762,0.452499478509512,lmer (1|class/order),0.669972482114013
SES.body_mass.var,ax_water,direction,33,21,12,0.0865,0.1012,0.0365,0.1673,0.218,0.828887200271856,lmer (1|class/order),0.85746951752261
SES.body_mass.var,ax_productivity,strength,33,21,12,0.0837,0.2027,0.119,0.0454,2.62,0.0140480512969872,lmer (1|class/order),0.168576615563847
SES.body_mass.var,ax_productivity,direction,33,21,12,-0.0093,0.058,0.0673,0.0677,0.993,0.3291747281673,lmer (1|class/order),0.668234803248698
SES.body_mass.var,ax_structure,strength,33,21,12,0.0288,0.0447,0.0159,0.0117,1.364,0.183528505074029,lmer (1|class/order),0.497602469516048
SES.body_mass.var,ax_structure,direction,33,21,12,-0.0085,-0.0167,-0.0082,0.0171,-0.482,0.63366677158514,lmer (1|class/order),0.717358609341668
SES.body_mass.var,ax_human,strength,33,21,12,0.0382,0.0768,0.0386,0.0216,1.788,0.0845741462851594,lmer (1|class/order),0.396506664921457
SES.body_mass.var,ax_human,direction,33,21,12,0.0031,-0.0018,-0.0086,0.0376,-0.228,0.821492667456785,lmer (1|class/order),0.85746951752261
SES.habitat_breadth.mean,ax_thermal,strength,33,21,12,0.1783,0.3031,0.1248,0.0649,1.924,0.0645123220446609,lmer (1|class/order),0.387073932267965
SES.habitat_breadth.mean,ax_thermal,direction,33,21,12,-0.137,-0.0411,0.1165,0.1912,0.609,0.547144193726444,lmer (1|class/order),0.669972482114013
SES.habitat_breadth.mean,ax_water,strength,33,21,12,0.1369,0.242,0.1051,0.0734,1.431,0.163497712056722,lmer (1|class/order),0.497602469516048
SES.habitat_breadth.mean,ax_water,direction,33,21,12,-0.0238,-0.1389,-0.1202,0.1104,-1.089,0.285477825060496,lmer (1|class/order),0.611738196558205
SES.habitat_breadth.mean,ax_productivity,strength,33,21,12,0.0696,0.1406,0.0878,0.0743,1.181,0.247421655236813,lmer (1|class/order),0.54982590052625
SES.habitat_breadth.mean,ax_productivity,direction,33,21,12,-0.0044,-0.0881,-0.1025,0.113,-0.906,0.372412794531513,lmer (1|class/order),0.669972482114013
SES.habitat_breadth.mean,ax_structure,strength,33,21,12,0.0416,0.0772,0.0356,0.0182,1.963,0.0596248195986246,lmer (1|class/order),0.387073932267965
SES.habitat_breadth.mean,ax_structure,direction,33,21,12,-0.0241,-0.0433,-0.0191,0.0253,-0.756,0.455847467487881,lmer (1|class/order),0.669972482114013
SES.habitat_breadth.mean,ax_human,strength,33,21,12,0.0367,0.0939,0.0589,0.0299,1.967,0.0591314619512316,lmer (1|class/order),0.387073932267965
SES.habitat_breadth.mean,ax_human,direction,33,21,12,0.0207,-0.0438,-0.0754,0.0539,-1.398,0.173162343216757,lmer (1|class/order),0.497602469516048
SES.habitat_breadth.var,ax_thermal,strength,33,21,12,0.2355,0.2887,0.0532,0.0754,0.706,0.486176835730689,lmer (1|class/order),0.669972482114013
SES.habitat_breadth.var,ax_thermal,direction,33,21,12,-0.0872,-0.0476,0.0395,0.1185,0.334,0.741070350873401,lmer (1|class/order),0.806721539107249
SES.habitat_breadth.var,ax_water,strength,33,21,12,0.1876,0.1806,0.0023,0.095,0.024,0.980801173869727,lmer (1|class/order),0.984627654547795
SES.habitat_breadth.var,ax_water,direction,33,21,12,0.0018,-0.0836,-0.0854,0.1025,-0.833,0.412051895519294,lmer (1|class/order),0.669972482114013
SES.habitat_breadth.var,ax_productivity,strength,33,21,12,0.0657,0.1372,0.0715,0.0304,2.353,0.0258937534496416,lmer (1|class/order),0.258937534496416
SES.habitat_breadth.var,ax_productivity,direction,33,21,12,-0.0074,-0.0537,-0.056,0.0882,-0.635,0.53037407852892,lmer (1|class/order),0.669972482114013
SES.habitat_breadth.var,ax_structure,strength,33,21,12,0.0342,0.0821,0.0479,0.0139,3.437,0.00185434101485753,lmer (1|class/order),0.055630230445726
SES.habitat_breadth.var,ax_structure,direction,33,21,12,-0.0056,-0.0417,-0.0367,0.0262,-1.401,0.172346481205454,lmer (1|class/order),0.497602469516048
SES.habitat_breadth.var,ax_human,strength,33,21,12,0.0313,0.0732,0.0471,0.0365,1.29,0.207607348432843,lmer (1|class/order),0.498587366873017
SES.habitat_breadth.var,ax_human,direction,33,21,12,0.0209,-0.0531,-0.0776,0.0358,-2.168,0.0388342032926416,lmer (1|class/order),0.332864599651214
