term,estimate,se,p,n,class,predictor,p_adj,thermal
richness,-0.000257761408913735,0.0665358102380723,0.996908982796301,3772,Aves,richness,0.996908982796301,Endotherm
SES.FRic,-0.0261253544667214,0.0357109869125673,0.464426486563518,3772,Aves,SES.FRic,0.984735865828707,Endotherm
trait_vol,-0.0122908975926759,0.0455880496083946,0.787461934298843,3772,Aves,trait_vol,0.984735865828707,Endotherm
richness,0.070909063000798,0.0595861240141343,0.234036000424318,3782,Mammalia,richness,0.702108001272953,Endotherm
SES.FRic,0.0637880791882492,0.0264373934799246,0.0158306083845954,3782,Mammalia,SES.FRic,0.0949836503075723,Endotherm
trait_vol,0.112019817304816,0.0331851372880396,0.000736543719354277,3782,Mammalia,trait_vol,0.00883852463225132,Endotherm
richness,-0.00251367011887466,0.0912103682909427,0.978013851196993,3606,Reptilia,richness,0.996908982796301,Ectotherm
SES.FRic,-0.00618113935981998,0.0272589493585037,0.820613221523923,3196,Reptilia,SES.FRic,0.984735865828707,Ectotherm
trait_vol,-0.0511015769164977,0.0251200315995071,0.0419217718250904,3606,Reptilia,trait_vol,0.167687087300362,Ectotherm
richness,0.033084858746255,0.0751922588930363,0.659934556385494,2618,Amphibia,richness,0.984735865828707,Ectotherm
SES.FRic,0.0210016761306401,0.0378391561391388,0.578877587887794,1994,Amphibia,SES.FRic,0.984735865828707,Ectotherm
trait_vol,0.0137277530858687,0.0336186984457611,0.683026396275598,2618,Amphibia,trait_vol,0.984735865828707,Ectotherm
