class,cov_min,sp_min,n_cells
Aves,0.5,5,1216
Aves,0.6,5,1117
Aves,0.7,5,1000
Aves,0.8,5,852
Aves,0.5,10,1193
Aves,0.6,10,1098
Aves,0.7,10,984
Aves,0.8,10,840
Aves,0.5,20,1126
Aves,0.6,20,1050
Aves,0.7,20,944
Aves,0.8,20,806
Mammalia,0.5,5,332
Mammalia,0.6,5,301
Mammalia,0.7,5,264
Mammalia,0.8,5,220
Mammalia,0.5,10,144
Mammalia,0.6,10,134
Mammalia,0.7,10,115
Mammalia,0.8,10,103
Mammalia,0.5,20,51
Mammalia,0.6,20,49
Mammalia,0.7,20,43
Mammalia,0.8,20,41
Reptilia,0.5,5,245
Reptilia,0.6,5,217
Reptilia,0.7,5,180
Reptilia,0.8,5,135
Reptilia,0.5,10,144
Reptilia,0.6,10,130
Reptilia,0.7,10,115
Reptilia,0.8,10,87
Reptilia,0.5,20,61
Reptilia,0.6,20,59
Reptilia,0.7,20,57
Reptilia,0.8,20,47
Amphibia,0.5,5,386
Amphibia,0.6,5,382
Amphibia,0.7,5,366
Amphibia,0.8,5,334
Amphibia,0.5,10,182
Amphibia,0.6,10,182
Amphibia,0.7,10,179
Amphibia,0.8,10,168
Amphibia,0.5,20,48
Amphibia,0.6,20,48
Amphibia,0.7,20,48
Amphibia,0.8,20,48
