class,grain,n_cells,mean_richness,mean_FDis,mean_SES_FDis,mean_SES_FRic,mean_SES_FDis_equiprob,mean_SES_FRic_equiprob
Aves,50km,3772,137.1,0.141,-0.835,-0.259,-1.676,-0.506
Aves,100km,950,136.8,0.142,-0.832,-0.251,-1.681,-0.513
Mammalia,50km,3783,50.4,0.179,-0.898,-0.529,-1.262,-1.407
Mammalia,100km,951,55.8,0.18,-0.915,-0.596,-1.11,-1.265
Reptilia,50km,3634,24.5,0.159,-1.125,-0.823,-1.879,-1.562
Reptilia,100km,923,27,0.161,-1.146,-0.873,-1.876,-1.545
Amphibia,50km,2619,13.6,0.183,0.083,-0.14,1.695,1.647
Amphibia,100km,690,15.1,0.182,0.134,-0.11,1.617,1.585
