x,y,jaccard
Aves,Aves,
Mammalia,Aves,0.314950980392157
Reptilia,Aves,0.182403433476395
Amphibia,Aves,0.0861678004535147
Aves,Mammalia,0.314950980392157
Mammalia,Mammalia,
Reptilia,Mammalia,0.238041002277904
Amphibia,Mammalia,0.0740318906605923
Aves,Reptilia,0.182403433476395
Mammalia,Reptilia,0.238041002277904
Reptilia,Reptilia,
Amphibia,Reptilia,0.159904534606205
Aves,Amphibia,0.0861678004535147
Mammalia,Amphibia,0.0740318906605923
Reptilia,Amphibia,0.159904534606205
Amphibia,Amphibia,
