grain,response,term,interaction_estimate,se,t,p,p_adj
50km,SES.body_mass.mean,ax_thermal,0.7251,0.0209,34.761,,
50km,SES.body_mass.mean,ax_water,-0.2257,0.0238,-9.473,,
50km,SES.body_mass.mean,ax_productivity,0.5168,0.0203,25.486,,
50km,SES.body_mass.mean,ax_structure,0.1007,0.016,6.295,,
50km,SES.body_mass.mean,ax_human,0.1618,0.0157,10.333,,
50km,SES.nocturnality.mean,ax_thermal,0.1411,0.0181,7.805,,
50km,SES.nocturnality.mean,ax_water,0.1947,0.0206,9.431,,
50km,SES.nocturnality.mean,ax_productivity,-0.0212,0.0176,-1.203,,
50km,SES.nocturnality.mean,ax_structure,0.3419,0.0139,24.652,,
50km,SES.nocturnality.mean,ax_human,-0.2111,0.0136,-15.537,,
50km,SES.habitat_breadth.mean,ax_thermal,0.1868,0.0178,10.509,,
50km,SES.habitat_breadth.mean,ax_water,-0.4261,0.0203,-20.997,,
50km,SES.habitat_breadth.mean,ax_productivity,0.3363,0.0173,19.389,,
50km,SES.habitat_breadth.mean,ax_structure,-0.0101,0.0136,-0.738,,
50km,SES.habitat_breadth.mean,ax_human,-0.0385,0.0134,-2.886,,
50km,SES.body_mass.var,ax_thermal,0.8379,0.0199,42.046,,
50km,SES.body_mass.var,ax_water,-0.0257,0.0228,-1.13,,
50km,SES.body_mass.var,ax_productivity,0.1874,0.0194,9.639,,
50km,SES.body_mass.var,ax_structure,-0.1209,0.0153,-7.91,,
50km,SES.body_mass.var,ax_human,0.2803,0.015,18.716,,
50km,SES.nocturnality.var,ax_thermal,-0.1746,0.0241,-7.242,,
50km,SES.nocturnality.var,ax_water,-0.0881,0.0275,-3.2,,
50km,SES.nocturnality.var,ax_productivity,-0.0662,0.0235,-2.813,,
50km,SES.nocturnality.var,ax_structure,0.2392,0.0185,12.939,,
50km,SES.nocturnality.var,ax_human,0.0902,0.0181,4.975,,
50km,SES.habitat_breadth.var,ax_thermal,0.3867,0.0208,18.592,,
50km,SES.habitat_breadth.var,ax_water,-0.5414,0.0238,-22.795,,
50km,SES.habitat_breadth.var,ax_productivity,-0.24,0.0203,-11.816,,
50km,SES.habitat_breadth.var,ax_structure,0.2293,0.016,14.366,,
50km,SES.habitat_breadth.var,ax_human,-0.0774,0.0156,-4.949,,
50km,SES.body_mass.skew,ax_thermal,-0.1811,0.0248,-7.299,,
50km,SES.body_mass.skew,ax_water,0.4913,0.0283,17.337,,
50km,SES.body_mass.skew,ax_productivity,-0.1384,0.0242,-5.714,,
50km,SES.body_mass.skew,ax_structure,-0.1387,0.019,-7.291,,
50km,SES.body_mass.skew,ax_human,-0.0611,0.0186,-3.278,,
50km,SES.nocturnality.skew,ax_thermal,0.0235,0.0187,1.257,,
50km,SES.nocturnality.skew,ax_water,-0.0746,0.0214,-3.492,,
50km,SES.nocturnality.skew,ax_productivity,-0.0661,0.0181,-3.646,,
50km,SES.nocturnality.skew,ax_structure,-0.3161,0.0143,-22.036,,
50km,SES.nocturnality.skew,ax_human,0.1881,0.014,13.416,,
50km,SES.habitat_breadth.skew,ax_thermal,-0.1775,0.0207,-8.577,,
50km,SES.habitat_breadth.skew,ax_water,-0.0083,0.0236,-0.351,,
50km,SES.habitat_breadth.skew,ax_productivity,-0.5002,0.0202,-24.769,,
50km,SES.habitat_breadth.skew,ax_structure,0.2359,0.0159,14.859,,
50km,SES.habitat_breadth.skew,ax_human,-0.0144,0.0155,-0.927,,
50km,SES.body_mass.kurt,ax_thermal,-0.6448,0.0237,-27.241,,
50km,SES.body_mass.kurt,ax_water,0.6086,0.027,22.51,,
50km,SES.body_mass.kurt,ax_productivity,-0.2321,0.0231,-10.045,,
50km,SES.body_mass.kurt,ax_structure,-0.0508,0.0181,-2.798,,
50km,SES.body_mass.kurt,ax_human,-0.1431,0.0178,-8.044,,
50km,SES.nocturnality.kurt,ax_thermal,-0.1284,0.0235,-5.462,,
50km,SES.nocturnality.kurt,ax_water,-0.2402,0.0269,-8.941,,
50km,SES.nocturnality.kurt,ax_productivity,-0.1578,0.023,-6.867,,
50km,SES.nocturnality.kurt,ax_structure,-0.0068,0.018,-0.377,,
50km,SES.nocturnality.kurt,ax_human,-0.0998,0.0177,-5.648,,
50km,SES.habitat_breadth.kurt,ax_thermal,-0.6589,0.0218,-30.275,,
50km,SES.habitat_breadth.kurt,ax_water,0.039,0.0249,1.57,,
50km,SES.habitat_breadth.kurt,ax_productivity,-0.3244,0.0212,-15.266,,
50km,SES.habitat_breadth.kurt,ax_structure,0.1881,0.0167,11.271,,
50km,SES.habitat_breadth.kurt,ax_human,0.0995,0.0164,6.083,,
50km,SES.litter_size.mean,ax_thermal,0.8458,0.0158,53.462,,
50km,SES.litter_size.mean,ax_water,0.1493,0.0182,8.185,,
50km,SES.litter_size.mean,ax_productivity,0.2551,0.0151,16.846,,
50km,SES.litter_size.mean,ax_structure,0.0923,0.0113,8.137,,
50km,SES.litter_size.mean,ax_human,-0.0117,0.0119,-0.983,,
50km,SES.litter_size.var,ax_thermal,0.1178,0.0271,4.341,,
50km,SES.litter_size.var,ax_water,-0.0636,0.0313,-2.032,,
50km,SES.litter_size.var,ax_productivity,0.0537,0.026,2.066,,
50km,SES.litter_size.var,ax_structure,0.0112,0.0195,0.576,,
50km,SES.litter_size.var,ax_human,0.2293,0.0204,11.263,,
50km,SES.litter_size.skew,ax_thermal,-0.2671,0.0271,-9.86,,
50km,SES.litter_size.skew,ax_water,0.0013,0.0312,0.043,,
50km,SES.litter_size.skew,ax_productivity,-0.4679,0.0259,-18.051,,
50km,SES.litter_size.skew,ax_structure,0.0229,0.0194,1.179,,
50km,SES.litter_size.skew,ax_human,-0.0192,0.0203,-0.945,,
50km,SES.litter_size.kurt,ax_thermal,-0.0664,0.0246,-2.698,,
50km,SES.litter_size.kurt,ax_water,0.1453,0.0284,5.12,,
50km,SES.litter_size.kurt,ax_productivity,0.1561,0.0236,6.628,,
50km,SES.litter_size.kurt,ax_structure,0.0829,0.0176,4.697,,
50km,SES.litter_size.kurt,ax_human,0.0268,0.0185,1.451,,
50km,SES.FDis,ax_thermal,-0.1535,0.0187,-8.223,,
