class,n_cells,assemblage_slope,se,p,assemblage_r,n_species,species_slope,species_r,amplification,p_adj
Amphibia,1924,-0.432594848452903,0.0236669373370638,0,-0.74859636631227,472,-0.114389687398363,-0.380419604298785,1.97,0
Reptilia,1131,-0.314618856832464,0.0166892373188716,0,0.0149117535882313,117,-0.144789031505013,-0.345745214062889,0.04,0
Aves,3772,-0.0905382183521487,0.0197291756855082,4.45262946979774e-06,-0.507847289126935,1292,-0.0071147695288882,-0.0844686131946853,6.01,4.45262946979774e-06
