class,trait,n,n_obs,coverage,upstream_imputed_pct,trait_set
Amphibia,body_length,438,438,100,0.7,core (all 4 classes)
Aves,body_length,1086,1086,100,12.5,core (all 4 classes)
Mammalia,body_length,599,599,100,8.5,core (all 4 classes)
Reptilia,body_length,472,472,100,0.2,core (all 4 classes)
Amphibia,body_mass,438,438,100,74.7,core (all 4 classes)
Aves,body_mass,1086,1086,100,2.9,core (all 4 classes)
Mammalia,body_mass,599,599,100,5.8,core (all 4 classes)
Reptilia,body_mass,472,472,100,0.2,core (all 4 classes)
Amphibia,diet_breadth,438,141,32.2,,extended (birds/mammals/reptiles)
Aves,diet_breadth,1086,1054,97.1,,extended (birds/mammals/reptiles)
Mammalia,diet_breadth,599,500,83.5,,extended (birds/mammals/reptiles)
Reptilia,diet_breadth,472,401,85,,extended (birds/mammals/reptiles)
Amphibia,diet_plant,438,142,32.4,,extended (birds/mammals/reptiles)
Aves,diet_plant,1086,1054,97.1,,extended (birds/mammals/reptiles)
Mammalia,diet_plant,599,500,83.5,,extended (birds/mammals/reptiles)
Reptilia,diet_plant,472,401,85,,extended (birds/mammals/reptiles)
Amphibia,diet_vert,438,142,32.4,,extended (birds/mammals/reptiles)
Aves,diet_vert,1086,1054,97.1,,extended (birds/mammals/reptiles)
Mammalia,diet_vert,599,500,83.5,,extended (birds/mammals/reptiles)
Reptilia,diet_vert,472,401,85,,extended (birds/mammals/reptiles)
Amphibia,habitat_breadth,438,438,100,3,core (all 4 classes)
Aves,habitat_breadth,1086,1086,100,0.2,core (all 4 classes)
Mammalia,habitat_breadth,599,599,100,1.5,core (all 4 classes)
Reptilia,habitat_breadth,472,472,100,1.9,core (all 4 classes)
Amphibia,litter_size,438,167,38.1,,extended (birds/mammals/reptiles)
Aves,litter_size,1086,914,84.2,,extended (birds/mammals/reptiles)
Mammalia,litter_size,599,393,65.6,,extended (birds/mammals/reptiles)
Reptilia,litter_size,472,347,73.5,,extended (birds/mammals/reptiles)
Amphibia,max_longevity,438,81,18.5,,excluded (data-deficient)
Aves,max_longevity,1086,362,33.3,,excluded (data-deficient)
Mammalia,max_longevity,599,327,54.6,,excluded (data-deficient)
Reptilia,max_longevity,472,135,28.6,,excluded (data-deficient)
Amphibia,nocturnality,438,438,100,70.8,core (all 4 classes)
Aves,nocturnality,1086,1086,100,0,core (all 4 classes)
Mammalia,nocturnality,599,599,100,7.3,core (all 4 classes)
Reptilia,nocturnality,472,472,100,16.7,core (all 4 classes)
Amphibia,range_size,438,438,100,,core (all 4 classes)
Aves,range_size,1086,1086,100,,core (all 4 classes)
Mammalia,range_size,599,599,100,,core (all 4 classes)
Reptilia,range_size,472,472,100,,core (all 4 classes)
Amphibia,verticality,438,438,100,11.4,core (all 4 classes)
Aves,verticality,1086,1086,100,0.7,core (all 4 classes)
Mammalia,verticality,599,599,100,3.8,core (all 4 classes)
Reptilia,verticality,472,472,100,2.5,core (all 4 classes)
