response,predictor,quantity,n_clades,n_endo,n_ecto,endo_mean,ecto_mean,contrast,se,t,p,model,p_adj
SES.FDis,ax_thermal,strength,47,34,13,0.2072,0.2777,0.0644,0.089,0.724,0.473268717763519,lmer (1|class/order),0.931854541043948
SES.FDis,ax_thermal,direction,47,34,13,-0.0282,0.0945,0.1228,0.1067,1.15,0.256473976275417,lmer (1|class/order),0.931854541043948
SES.FDis,ax_water,strength,47,34,13,0.1816,0.2137,0.0494,0.0806,0.612,0.543515010337061,lmer (1|class/order),0.931854541043948
SES.FDis,ax_water,direction,47,34,13,-0.0154,0.0094,0.0547,0.1421,0.385,0.702093130223303,lmer (1|class/order),0.931854541043948
SES.FDis,ax_productivity,strength,47,34,13,0.1019,0.13,0.0219,0.0654,0.335,0.739629010684238,lmer (1|class/order),0.931854541043948
SES.FDis,ax_productivity,direction,47,34,13,0.0116,0.0185,0.0069,0.0607,0.114,0.90988129292583,lmer (1|class/order),0.968374492499742
SES.FDis,ax_structure,strength,47,34,13,0.042,0.0555,0.0083,0.0211,0.391,0.69765641718533,lmer (1|class/order),0.931854541043948
SES.FDis,ax_structure,direction,47,34,13,-0.003,0.0034,0.0064,0.0193,0.332,0.741371274824806,lmer (1|class/order),0.931854541043948
SES.FDis,ax_human,strength,47,34,13,0.0689,0.0539,-0.015,0.0337,-0.444,0.659235673050291,lmer (1|class/order),0.931854541043948
SES.FDis,ax_human,direction,47,34,13,0.0285,-0.0197,-0.0482,0.0391,-1.231,0.225233059602696,lmer (1|class/order),0.931854541043948
SES.RaoQ,ax_thermal,strength,47,34,13,0.2514,0.3056,0.0291,0.2232,0.131,0.896765872158241,lmer (1|class/order),0.968374492499742
SES.RaoQ,ax_thermal,direction,47,34,13,0.0384,0.1026,0.0641,0.1441,0.445,0.65857631278755,lmer (1|class/order),0.931854541043948
SES.RaoQ,ax_water,strength,47,34,13,0.1913,0.2214,0.048,0.1057,0.455,0.651717394902179,lmer (1|class/order),0.931854541043948
SES.RaoQ,ax_water,direction,47,34,13,-0.0015,0.0225,0.0723,0.1809,0.4,0.691346355528697,lmer (1|class/order),0.931854541043948
SES.RaoQ,ax_productivity,strength,47,34,13,0.1158,0.1359,0.0162,0.0613,0.264,0.793353899862075,lmer (1|class/order),0.931854541043948
SES.RaoQ,ax_productivity,direction,47,34,13,5e-04,0.0057,0.0053,0.0653,0.081,0.93609534274975,lmer (1|class/order),0.968374492499742
SES.RaoQ,ax_structure,strength,47,34,13,0.0458,0.0596,0.0046,0.0309,0.15,0.881507042800313,lmer (1|class/order),0.968374492499742
SES.RaoQ,ax_structure,direction,47,34,13,-0.0099,0.0058,0.0157,0.0221,0.712,0.480475679907619,lmer (1|class/order),0.931854541043948
SES.RaoQ,ax_human,strength,47,34,13,0.0731,0.0572,-0.0159,0.0344,-0.462,0.646251300921443,lmer (1|class/order),0.931854541043948
SES.RaoQ,ax_human,direction,47,34,13,0.0217,-0.0174,-0.0391,0.0408,-0.958,0.34348935876638,lmer (1|class/order),0.931854541043948
SES.body_mass.mean,ax_thermal,strength,47,34,13,0.2283,0.4357,0.2074,0.0798,2.599,0.0128305351713511,lmer (1|class/order),0.384916055140532
SES.body_mass.mean,ax_thermal,direction,47,34,13,-0.0218,0.0175,0.0023,0.1899,0.012,0.990353686122462,lmer (1|class/order),0.990353686122462
SES.body_mass.mean,ax_water,strength,47,34,13,0.1727,0.2285,0.074,0.1,0.74,0.46354606392523,lmer (1|class/order),0.931854541043948
SES.body_mass.mean,ax_water,direction,47,34,13,-0.014,0.1143,0.1268,0.1155,1.098,0.278648210062817,lmer (1|class/order),0.931854541043948
SES.body_mass.mean,ax_productivity,strength,47,34,13,0.1047,0.1191,0.003,0.0634,0.047,0.962749600608049,lmer (1|class/order),0.979067390448864
SES.body_mass.mean,ax_productivity,direction,47,34,13,0.0306,0.0092,-0.0214,0.0571,-0.376,0.709162446218509,lmer (1|class/order),0.931854541043948
SES.body_mass.mean,ax_structure,strength,47,34,13,0.046,0.071,0.025,0.0155,1.609,0.115175078023606,lmer (1|class/order),0.931854541043948
SES.body_mass.mean,ax_structure,direction,47,34,13,-0.0131,-0.0373,-0.0285,0.0268,-1.061,0.294756599764556,lmer (1|class/order),0.931854541043948
SES.body_mass.mean,ax_human,strength,47,34,13,0.1023,0.0737,-0.0945,0.3381,-0.279,0.781273029874085,lmer (1|class/order),0.931854541043948
SES.body_mass.mean,ax_human,direction,47,34,13,-0.0543,0.0347,0.19,0.3467,0.548,0.58651439189694,lmer (1|class/order),0.931854541043948
SES.body_mass.var,ax_thermal,strength,47,34,13,0.323,0.4066,0.0837,0.1542,0.543,0.590335282754546,lmer (1|class/order),0.931854541043948
SES.body_mass.var,ax_thermal,direction,47,34,13,-0.1091,0.0782,0.2381,0.368,0.647,0.521158316020745,lmer (1|class/order),0.931854541043948
SES.body_mass.var,ax_water,strength,47,34,13,0.1785,0.2204,0.057,0.1074,0.53,0.598760927092404,lmer (1|class/order),0.931854541043948
SES.body_mass.var,ax_water,direction,47,34,13,0.0213,0.0913,0.0925,0.1532,0.604,0.549417723475177,lmer (1|class/order),0.931854541043948
SES.body_mass.var,ax_productivity,strength,47,34,13,0.113,0.2045,0.084,0.0757,1.11,0.273487379697786,lmer (1|class/order),0.931854541043948
SES.body_mass.var,ax_productivity,direction,47,34,13,-0.0056,0.071,0.0765,0.0665,1.15,0.256576040356021,lmer (1|class/order),0.931854541043948
SES.body_mass.var,ax_structure,strength,47,34,13,0.0432,0.0447,0.0015,0.0152,0.098,0.922743568950131,lmer (1|class/order),0.968374492499742
SES.body_mass.var,ax_structure,direction,47,34,13,-0.0121,-0.0188,-0.0068,0.0205,-0.331,0.742067480945607,lmer (1|class/order),0.931854541043948
SES.body_mass.var,ax_human,strength,47,34,13,0.1185,0.0713,-0.106,0.3274,-0.324,0.74779360729313,lmer (1|class/order),0.931854541043948
SES.body_mass.var,ax_human,direction,47,34,13,-0.0243,-0.0012,0.0774,0.316,0.245,0.807607268904755,lmer (1|class/order),0.931854541043948
SES.habitat_breadth.mean,ax_thermal,strength,47,34,13,0.2512,0.3015,0.0503,0.0779,0.645,0.522139615771656,lmer (1|class/order),0.931854541043948
SES.habitat_breadth.mean,ax_thermal,direction,47,34,13,-0.0694,-0.0163,0.0531,0.1163,0.456,0.650422987553179,lmer (1|class/order),0.931854541043948
SES.habitat_breadth.mean,ax_water,strength,47,34,13,0.2023,0.2318,0.0295,0.0773,0.382,0.704130334060274,lmer (1|class/order),0.931854541043948
SES.habitat_breadth.mean,ax_water,direction,47,34,13,-0.0511,-0.1199,-0.0687,0.1013,-0.679,0.50114885946838,lmer (1|class/order),0.931854541043948
SES.habitat_breadth.mean,ax_productivity,strength,47,34,13,0.092,0.1379,0.0604,0.0621,0.972,0.33638257554725,lmer (1|class/order),0.931854541043948
SES.habitat_breadth.mean,ax_productivity,direction,47,34,13,-0.0075,-0.0732,-0.0947,0.1166,-0.812,0.421480167453407,lmer (1|class/order),0.931854541043948
SES.habitat_breadth.mean,ax_structure,strength,47,34,13,0.051,0.0791,0.0281,0.0179,1.568,0.124393284276024,lmer (1|class/order),0.931854541043948
SES.habitat_breadth.mean,ax_structure,direction,47,34,13,-0.0216,-0.0477,-0.0295,0.0306,-0.964,0.340614689380834,lmer (1|class/order),0.931854541043948
SES.habitat_breadth.mean,ax_human,strength,47,34,13,0.1074,0.0889,-0.0526,0.2466,-0.213,0.832255508861424,lmer (1|class/order),0.942176047767649
SES.habitat_breadth.mean,ax_human,direction,47,34,13,0.0382,-0.0382,-0.1716,0.2512,-0.683,0.498324698853646,lmer (1|class/order),0.931854541043948
