term,estimate,se,p,n,class,response,thermal,p_adj
ax_thermal,0.533769447595832,0.0665240748082297,1.11022302462516e-15,1924,Amphibia,cwm_ssd,Ectotherm,3.33066907387547e-14
ax_water,0.156344390550334,0.0443667253947073,0.000425227092446301,1924,Amphibia,cwm_ssd,Ectotherm,0.00159460159667363
ax_productivity,0.00349824520521909,0.0218133399893825,0.872588180498468,1924,Amphibia,cwm_ssd,Ectotherm,0.921639435778939
ax_structure,-0.0568193505424625,0.0168792005216525,0.000762018423720035,1924,Amphibia,cwm_ssd,Ectotherm,0.0022860552711601
ax_human,-0.0177743388068755,0.0182956548099428,0.331296356277741,1924,Amphibia,cwm_ssd,Ectotherm,0.477027169277746
ax_thermal,0.337962649758286,0.0777024050163997,1.36480002841388e-05,1924,Amphibia,cwv_ssd,Ectotherm,0.000102360002131041
ax_water,0.216297758517723,0.0531370346923648,4.68992340889596e-05,1924,Amphibia,cwv_ssd,Ectotherm,0.000281395404533757
ax_productivity,0.0202954938387891,0.0262769641802552,0.439896330520216,1924,Amphibia,cwv_ssd,Ectotherm,0.551462877012842
ax_structure,-0.00471304759347281,0.0204640509722057,0.817851953185542,1924,Amphibia,cwv_ssd,Ectotherm,0.921639435778939
ax_human,-0.0279329127643834,0.0221072652807198,0.206403323157506,1924,Amphibia,cwv_ssd,Ectotherm,0.346960539571687
ax_thermal,0.17512959534653,0.0656933244466868,0.00767903104303858,1131,Reptilia,cwm_ssd,Ectotherm,0.0209428119355597
ax_water,-0.0347029760066233,0.0450560156123598,0.441170301610273,1131,Reptilia,cwm_ssd,Ectotherm,0.551462877012842
ax_productivity,0.0085251648092514,0.0276931631261237,0.758201294700747,1131,Reptilia,cwm_ssd,Ectotherm,0.909841553640896
ax_structure,0.0506842185082489,0.024321128519587,0.0371639572888942,1131,Reptilia,cwm_ssd,Ectotherm,0.0857629783589866
ax_human,-0.090973150237841,0.0248151663193907,0.000246344803921827,1131,Reptilia,cwm_ssd,Ectotherm,0.00113124307564145
ax_thermal,0.463372760865591,0.0839014182224452,3.3359397910715e-08,1131,Reptilia,cwv_ssd,Ectotherm,5.00390968660724e-07
ax_water,0.0654610861047536,0.0677475552077451,0.333919018494422,1131,Reptilia,cwv_ssd,Ectotherm,0.477027169277746
ax_productivity,-0.154952974202309,0.0453396409399478,0.000631747683166983,1131,Reptilia,cwv_ssd,Ectotherm,0.00210582561055661
ax_structure,-0.0548160239629876,0.0428296791929116,0.200594125043699,1131,Reptilia,cwv_ssd,Ectotherm,0.346960539571687
ax_human,0.0614294528336106,0.0418587104021281,0.142228430747412,1131,Reptilia,cwv_ssd,Ectotherm,0.284456861494823
ax_thermal,0.00595426726933598,0.0385806010260934,0.877347028136603,3772,Aves,cwm_ssd,Endotherm,0.921639435778939
ax_water,0.00409317103470145,0.0298461059402251,0.890918121252975,3772,Aves,cwm_ssd,Endotherm,0.921639435778939
ax_productivity,-0.0201135044218725,0.0179818388696323,0.263334097663873,3772,Aves,cwm_ssd,Endotherm,0.415790680521905
ax_structure,0.00620678760490347,0.00700282445816968,0.375441712103859,3772,Aves,cwm_ssd,Endotherm,0.511965971050716
ax_human,0.0120852709353231,0.0096021851045723,0.208176323743012,3772,Aves,cwm_ssd,Endotherm,0.346960539571687
ax_thermal,-0.215453268853601,0.0470046868979517,4.56917861146877e-06,3772,Aves,cwv_ssd,Endotherm,4.56917861146877e-05
ax_water,-0.00041219895242982,0.0369313973846947,0.991094830546487,3772,Aves,cwv_ssd,Endotherm,0.991094830546487
ax_productivity,0.0432344257170143,0.0226845308998515,0.0566633053432282,3772,Aves,cwv_ssd,Endotherm,0.121421368592632
ax_structure,-0.0217605784642992,0.00887597689958337,0.0142212266301909,3772,Aves,cwv_ssd,Endotherm,0.0355530665754772
ax_human,0.0443183615979313,0.0121475950663131,0.000263956717649672,3772,Aves,cwv_ssd,Endotherm,0.00113124307564145
