area_target_pct,species_by_speciesplan,bins_by_speciesplan,bins_by_traitplan,species_by_traitplan,species_by_richness,bins_by_richness,trait_shortfall_of_speciesplan
5,28.8,20.9,23.8,31.1,35.4,25.4,2.9
10,42.6,35,46.7,49.7,50,46.7,11.7
17,59.5,52.9,62.8,60.5,62.1,64.7,9.9
30,86.4,92.3,92.2,81.9,77.1,85.8,-0.1
